Topology,car_cache,ec2_vcpus,ec2_memorylevel,ec2_instances,latency,cost,complexity,scalability
3.0,7,4,2,54,0.545,2.187,10,8.9016
3.0,9,12,3,13,0.625,2.0014,10,8.7716
3.0,6,16,1,64,0.625,2.2512,10,8.8168
3.0,1,8,3,11,0.5875,6.3012,10,8.9812
3.0,9,12,3,63,0.625,1.9997,10,8.7789
3.0,5,12,2,10,0.625,2.3412,10,8.8294
3.0,7,16,2,61,0.7125,2.187,10,8.6834
3.0,6,4,3,16,0.545,2.2512,10,8.907
3.0,8,4,1,73,0.535,2.0262,10,8.8986
3.0,3,4,2,26,0.545,3.0012,10,8.9463
3.0,3,14,2,11,0.625,3.0012,10,8.8935
3.0,2,6,3,60,0.57,4.0512,10,8.9614
3.0,3,6,3,91,0.57,3.0012,10,8.9309
3.0,5,6,2,18,0.57,2.3412,10,8.8889
3.0,9,4,1,3,0.535,2.0013,10,8.896
3.0,4,10,3,81,0.625,2.7012,10,8.8697
3.0,1,6,2,47,0.57,6.3012,10,8.9838
3.0,1,10,2,30,0.5875,6.3012,10,8.9812
3.0,5,4,1,77,0.535,2.3412,10,8.9228
3.0,1,6,3,45,0.57,6.3012,10,8.9838
3.0,2,16,1,12,0.625,4.0512,10,8.9404
3.0,3,14,3,23,0.7125,3.0012,10,8.824
3.0,7,14,3,88,0.7125,2.1849,10,8.6917
3.0,4,16,2,17,0.7125,2.7012,10,8.7853
3.0,4,12,3,95,0.625,2.7012,10,8.8697
3.0,6,16,2,5,0.7125,2.2512,10,8.6984
3.0,3,2,3,44,0.5225,3.0012,10,8.9592
3.0,1,4,1,23,0.535,6.3012,10,8.9889
3.0,9,14,2,39,0.625,2.0013,10,8.7719
3.0,6,10,2,86,0.5875,2.2512,10,8.8612
3.0,3,16,2,69,0.7125,3.0012,10,8.8217
3.0,3,2,3,54,0.5225,3.0012,10,8.9593
3.0,7,10,3,99,0.625,2.187,10,8.8065
3.0,8,14,3,76,0.7125,2.0262,10,8.6369
3.0,2,6,1,70,0.545,4.0512,10,8.97
3.0,10,12,3,18,0.625,1.8912,10,8.7476
3.0,4,10,2,84,0.5875,2.7012,10,8.9014
3.0,9,6,2,68,0.57,2.0014,10,8.8504
3.0,6,4,1,13,0.535,2.2512,10,8.9171
3.0,3,8,2,100,0.5875,3.0012,10,8.9195
3.0,8,16,1,64,0.625,2.0262,10,8.7772
3.0,10,6,3,91,0.57,1.8912,10,8.8347
