Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,complexity,scalability
1.3,10,0,1,3600,0.7,14,2,0,7.721,9,0.52454
1.3,1,1,0,2150,1,2,3,0,4.5436,9,8.9681
1.3,9,0,1,1250,0,6,2,0,2.3154,9,1.9435
1.3,4,1,1,2950,0.9,8,2,0,1.5575,9,6.5007
1.3,2,0,0,3750,0.4,6,1,0,2.6391,9,7.763
1.3,10,0,1,3750,0.3,6,2,0,6.9799,9,0.58024
1.3,6,1,0,2350,0.5,6,3,0,0.86073,9,7.8422
1.3,3,0,1,3050,0.5,8,1,0,3.2877,9,4.1399
1.3,8,1,0,3150,0.6,2,2,0,0.60163,9,8.4437
1.3,4,0,0,2400,0.9,2,3,0,1.7098,9,5.9437
1.3,3,1,1,800,0.2,16,3,0,2.0846,9,6.4761
1.3,9,0,1,1850,0.7,12,3,0,3.9699,9,1.1335
1.3,6,0,0,1900,0.8,8,2,0,1.4853,9,4.5446
1.3,1,0,1,2700,0.6,14,1,0,5.188,9,7.8931
1.3,7,0,0,3500,0.9,16,3,0,2.3177,9,2.4963
1.3,2,0,1,2200,0.8,10,3,0,3.3097,9,6.1184
1.3,10,1,1,1150,0.1,14,3,0,1.001,9,4.0459
1.3,8,0,1,2000,0.6,12,3,0,3.8066,9,1.3299
1.3,1,1,0,1250,0.5,14,1,0,4.6828,9,8.7446
1.3,1,1,0,700,0.9,14,3,0,4.745,9,8.5452
1.3,9,1,1,1850,0.5,8,2,0,0.93252,9,4.8256
1.3,8,1,0,1700,0.3,6,2,0,0.65989,9,7.6717
1.3,2,0,1,2350,0.1,12,2,0,3.1722,9,6.388
1.3,9,1,0,3850,0.8,2,2,0,0.53913,9,8.3684
1.3,5,1,1,2300,0.6,2,3,0,1.2496,9,6.5005
1.3,1,1,1,1200,0.3,16,2,0,5.049,9,8.049
1.3,3,1,0,350,0.9,4,1,0,1.5594,9,8.7587
1.3,2,0,0,3800,0,8,1,0,2.5775,9,7.9392
1.3,1,1,1,2400,0.4,16,2,0,5.049,9,8.049
1.3,5,1,0,3250,1,14,3,0,1.145,9,7.0741
1.3,7,1,0,1050,1,12,2,0,0.82764,9,6.9907
1.3,7,0,1,600,0.2,2,3,0,1.3696,9,4.2294
1.3,5,1,0,900,1,16,2,0,1.143,9,7.0864
1.3,7,1,0,3650,0,4,2,0,0.71112,9,8.1361
1.3,2,0,0,3700,0.7,12,1,0,2.7806,9,7.3422
1.3,3,0,0,600,0.7,14,3,0,1.825,9,7.3972
1.3,8,1,0,2400,0.7,2,2,0,0.60163,9,8.4437
1.3,9,0,0,2200,0.9,16,2,0,1.873,9,2.4025
1.3,5,1,1,450,0.1,14,3,0,1.451,9,5.5823
1.3,8,1,0,300,0.9,2,3,0,0.60608,9,8.3574
1.3,4,0,0,2400,0.4,10,2,0,1.6757,9,6.0424
1.3,7,1,1,3950,0.4,6,2,0,1.0462,9,5.53
1.3,8,1,1,700,1,14,1,0,1.0513,9,4.8155
1.3,1,0,0,800,0,16,3,0,4.7911,9,8.4577
1.3,8,0,1,3250,0.1,8,2,0,4.8301,9,1.0481
1.3,8,0,1,1750,1,12,3,0,3.7693,9,1.3431
1.3,2,1,0,2250,0,6,2,0,2.3474,9,8.6683
1.3,1,0,1,3900,0,2,1,6.9333e-06,5.1597,9,7.9568
1.3,1,1,0,3950,0.6,8,3,0,4.6443,9,8.7528
1.3,4,1,0,650,0.1,6,3,0,1.2357,9,8.1936
1.3,7,1,1,350,1,16,1,0,1.1563,9,5.0035
1.3,2,0,0,2100,0.7,10,1,0,2.5872,9,7.8996
1.3,4,0,1,4000,0.7,6,3,0,4.3733,9,2.3152
1.3,10,0,1,3250,0,8,3,0,5.5763,9,0.72629
1.3,1,1,0,2900,0.8,10,2,0,4.6556,9,8.7467
1.3,10,1,0,1300,1,6,1,0,0.53405,9,7.5835
1.3,4,0,1,1750,0.6,8,3,0,2.597,9,3.8987
1.3,10,0,1,2750,0.8,12,3,0,6.218,9,0.65134
1.3,9,0,0,1500,1,8,2,0,1.434,9,3.138
1.3,5,0,1,3000,0.5,6,3,0,3.7622,9,2.153
1.3,2,0,1,900,0.5,12,3,0,2.7849,9,7.2713
1.3,7,0,1,1350,1,8,1,0,2.7736,9,2.086
