Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,latency,cost,complexity,scalability
2.1,7,0,1,3850,2,1,9750,160,10,2,2,0,13.021,16,8.98356
2.1,6,0,1,1700,4,0.3,1750,928,4,14,1,0,13.443,16,8.88635
2.1,2,0,1,2350,6,0.9,6100,376,10,14,3,0,18.3052,16,8.88594
2.1,5,1,0,650,4,1,2750,264,7,6,2,0,17.8406,16,2.14359
2.1,6,0,1,7050,9,0.9,4600,144,7,16,3,0,13.5388,16,8.82347
2.1,9,1,0,9750,2,1,3400,888,1,14,1,0,139.8024,16,0.1991298
2.1,7,0,1,8650,1,0.8,5000,168,8,2,3,0,13.0254,16,8.97922
2.1,6,1,0,4300,8,0.9,3800,792,9,14,3,0,221.992,16,0.1562166
2.1,4,0,1,2900,1,0.3,8950,928,5,10,1,0,14.5936,16,8.92813
2.1,7,1,0,650,6,0.2,4550,832,9,8,1,0,10.7461,16,2.9902
2.1,5,0,0,4400,9,0.3,4800,288,10,6,3,0,83.4269,16,0.454516
2.1,1,1,0,2900,7,0.6,2500,928,2,6,3,0,29.9653,16,4.67742
2.1,4,0,1,4050,8,0.9,9850,872,10,2,3,0,14.5037,16,8.98365
2.1,2,1,0,5950,2,0.4,6950,920,2,16,2,0,18.1776,16,4.31404
2.1,5,0,1,7400,8,0.9,7150,72,3,2,1,0,13.6848,16,8.99298
2.1,9,0,1,7650,8,0,9300,48,5,16,2,0,12.7536,16,8.83739
2.1,4,0,1,1250,2,0.9,6800,240,8,12,2,0,14.6449,16,8.89446
2.1,1,0,1,1550,9,0.8,9600,544,9,14,2,0,25.0241,16,8.93428
2.1,5,0,1,5250,5,0.9,6500,992,2,2,2,0,13.6893,16,8.98608
2.1,2,0,1,3200,8,0.4,1550,176,3,6,3,0,18.1709,16,8.95383
2.1,6,1,0,9400,3,0.7,7000,144,7,4,2,0,120.9948,16,0.2866526
2.1,3,0,1,9250,8,0.7,9950,96,2,14,2,0,15.7241,16,8.88503
2.1,1,0,0,8600,4,0.6,3250,312,6,4,3,0,38.5732,16,3.59249
2.1,7,1,0,1650,6,0.6,3900,768,6,4,3,0,51.6365,16,0.622292
2.1,4,1,1,6550,7,0.6,3600,56,9,12,3,0,14.2666,16,8.87483
2.1,2,0,0,9950,2,0.4,7850,432,7,16,1,0,25.6632,16,3.02874
2.1,9,0,0,7100,1,0.9,4950,728,7,2,1,0,22.6487,16,1.22317
2.1,4,1,1,6600,6,0.7,9200,72,4,4,2,0,14.1234,16,8.96729
2.1,10,1,0,3550,4,0.2,2200,216,4,16,1,0,39.8536,16,0.650651
2.1,5,0,0,8650,1,0.1,9400,296,10,8,3,0,17.579,16,2.15706
2.1,9,0,1,4500,2,0.9,3850,912,5,2,2,0,12.5497,16,8.98191
2.1,7,0,0,5350,9,0.4,4100,664,5,10,1,0,176.8866,16,0.1803505
2.1,10,1,1,1900,8,0.2,5100,184,8,6,2,0,11.9656,16,8.93656
2.1,3,0,0,900,1,0.4,1450,488,4,4,1,0,6.94573,16,9.70829
2.1,9,0,1,1400,10,0.6,9450,160,6,10,1,0,12.644,16,8.914
2.1,7,1,1,5650,9,0.8,1500,936,1,16,2,0,12.8006,16,8.83808
2.1,3,1,0,2700,8,0.6,5500,672,3,8,2,0,52.5463,16,1.05066
2.1,3,1,0,7200,5,1,4450,768,7,16,3,0,124.2484,16,0.444262
2.1,3,1,1,7900,1,0.6,9250,424,1,16,2,0,15.3632,16,8.86526
2.1,10,0,0,2500,5,0,1600,184,10,10,2,0,10.6558,16,2.41829
2.1,9,1,1,3100,6,0.5,7600,224,9,8,3,0,12.2249,16,8.90305
2.1,1,0,0,1050,6,0.3,5650,800,5,6,2,0,18.3772,16,7.89195
2.1,6,0,0,3750,1,0.9,6600,496,10,16,1,0,10.9026,16,3.15601
2.1,1,1,0,9250,6,0.9,5250,800,2,12,1,0,72.1788,16,1.9459
2.1,7,1,0,4700,5,0.1,3650,96,1,16,1,0,29.2955,16,1.09686
2.1,7,1,1,9050,9,0.1,4750,344,10,16,2,0,12.8006,16,8.83808
2.1,9,1,0,1850,8,0.8,8450,736,2,12,2,0,128.7398,16,0.2162411
2.1,4,1,0,9400,6,0.5,4300,672,3,6,2,0,136.9782,16,0.3330518
2.1,8,0,0,2650,3,0.6,8450,472,4,12,2,0,48.2269,16,0.601507
2.1,5,0,0,7950,2,0.8,5300,672,5,2,2,0,59.1208,16,0.642128
2.1,1,1,1,2100,4,0.6,2650,808,4,16,1,0,24.7476,16,8.94652
2.1,7,1,1,8500,10,0.2,7500,264,2,8,3,0,12.7019,16,8.90679
2.1,9,0,1,3500,8,0.4,750,968,10,16,3,0,12.7892,16,8.81282
2.1,8,0,0,1800,4,0.8,1000,128,3,2,2,0,53.8317,16,0.539205
2.1,6,0,0,5700,8,0.7,6550,448,6,4,1,0,244.7058,16,0.140839
2.1,2,0,0,3450,1,0.8,3800,976,10,16,1,0,10.929,16,7.60214
2.1,3,1,1,7800,6,0.7,4100,568,9,10,2,0,15.2758,16,8.91598
2.1,5,1,0,4400,9,0.4,8900,744,8,10,2,0,101.5438,16,0.376614
2.1,2,1,1,5600,10,0.8,4500,24,4,4,2,0,17.7684,16,8.97911
2.1,7,0,0,5850,8,0.5,1050,952,1,8,3,0,204.2015,16,0.156226
2.1,3,0,1,850,4,0.2,7900,984,9,2,2,0,15.5493,16,8.99089
2.1,7,0,0,2600,7,0.1,7550,120,2,16,2,0,25.6013,16,1.24609
2.1,6,0,1,4800,9,0.4,1000,936,6,16,2,0,13.5032,16,8.8467
2.1,7,0,1,9100,3,0.4,3700,64,2,6,1,0,13.0659,16,8.95202
2.1,10,0,1,1100,1,0.3,2600,400,6,8,1,0,12.4089,16,8.93059
2.1,10,0,0,7500,4,0.4,5800,952,7,12,3,0,147.5356,16,0.1746617
2.1,5,1,0,1700,4,0.5,9450,128,2,2,3,0,23.0307,16,1.6615
2.1,6,0,0,7600,3,0,1700,824,2,12,2,0,17.9485,16,1.91708
