Topology,fargate_vcpus,fargate_memorylevel,car_cache,latency,cost,reliability,scalability
1.1,10,1,3,0.0001296,0.18715,10,-0.062461
1.1,12,3,10,0,0.18063,10,-0.11052
1.1,2,3,4,5.76e-05,0.19381,10,-0.016181
1.1,2,3,2,6.72e-05,0.22209,10,-0.010314
1.1,4,3,5,0,0.17764,10,-0.040156
1.1,4,1,1,0.0003984,0.22772,10,-0.013932
1.1,8,2,2,0.0001056,0.22351,10,-0.05057
1.1,6,1,4,5.76e-05,0.19522,10,-0.035112
1.1,4,1,3,0.0001008,0.18633,10,-0.01785
1.1,2,3,10,0,0.1769,10,-0.020675
1.1,2,1,10,0.000624,0.17712,10,-0.0089536
1.1,14,3,8,0,0.18412,10,-0.12463
1.1,6,2,9,0,0.18542,10,-0.04958
1.1,12,2,2,9.6e-06,0.22419,10,-0.078882
1.1,16,2,3,0,0.18866,10,-0.12091
1.1,2,2,10,0.000288,0.17689,10,-0.0157
1.1,16,2,4,0,0.19783,10,-0.11598
1.1,2,1,4,0.0002112,0.19464,10,-0.004618
1.1,2,3,9,0,0.18423,10,-0.019763
1.1,2,3,1,7.2e-05,0.22364,10,-0.002663
1.1,2,2,3,0.0001008,0.18516,10,-0.010414
1.1,2,1,7,0.0004368,0.18999,10,-0.0079611
1.1,2,3,6,0.0002592,0.18438,10,-0.017573
1.1,2,1,4,0.0002112,0.19464,10,-0.004618
1.1,6,2,5,0,0.17809,10,-0.05154
1.1,6,2,2,2.88e-05,0.22318,10,-0.036354
1.1,2,2,5,0.000312,0.17729,10,-0.013003
1.1,2,2,2,0.0001056,0.2225,10,-0.0054315
1.1,4,2,1,5.28e-05,0.22486,10,-0.011415
1.1,12,3,6,0,0.18797,10,-0.10671
1.1,2,2,2,0.0001056,0.2225,10,-0.0054315
1.1,14,2,9,0,0.18801,10,-0.10769
1.1,2,3,8,3.84e-05,0.17968,10,-0.019917
1.1,2,2,6,8.64e-05,0.1845,10,-0.014773
1.1,2,3,9,0,0.18423,10,-0.019763
1.1,12,3,3,0,0.18795,10,-0.10646
1.1,2,1,4,0.0002112,0.19464,10,-0.004618
1.1,6,2,3,0.0001296,0.18581,10,-0.046545
1.1,12,3,8,0,0.18338,10,-0.109
1.1,4,2,6,2.88e-05,0.18484,10,-0.033429
1.1,4,2,3,4.32e-05,0.1855,10,-0.029158
1.1,12,3,2,0,0.22462,10,-0.090558
1.1,2,1,1,0.000744,0.2277,10,-0.028965
1.1,2,1,9,0.0003024,0.18452,10,-0.0099396
1.1,8,1,6,2.88e-05,0.18577,10,-0.055145
1.1,2,1,8,0.000192,0.18004,10,-0.010332
1.1,4,3,3,0.0001296,0.18527,10,-0.036046
1.1,2,1,1,0.000744,0.2277,10,-0.028965
1.1,2,1,7,0.0004368,0.18999,10,-0.0079611
1.1,6,1,5,0.000216,0.17835,10,-0.039468
1.1,14,1,1,6.24e-05,0.22898,10,-0.055752
1.1,2,1,7,0.0004368,0.18999,10,-0.0079611
1.1,4,3,3,0.0001296,0.18527,10,-0.036046
1.1,2,3,10,0,0.1769,10,-0.020675
1.1,2,1,1,0.000744,0.2277,10,-0.028965
1.1,2,1,7,0.0004368,0.18999,10,-0.0079611
1.1,12,2,10,0,0.18003,10,-0.097497
1.1,2,1,2,0.0007968,0.22393,10,-0.026848
1.1,6,3,7,0,0.19097,10,-0.055474
