Topology,car_cache,ec2_vcpus,ec2_memorylevel,ec2_instances,latency,cost,reliability,scalability
3,7,2,2,84,0.0116111,0.188906,20,-0.230427
3,9,2,3,90,0.0116111,0.183658,20,-0.235146
3,10,2,2,53,0.0116111,0.176329,20,-0.242382
3,2,6,1,95,0.0121111,0.22032,20,-0.211375
3,10,4,3,31,0.0121111,0.176339,20,-0.250131
3,3,2,1,97,0.0114167,0.183651,20,-0.232069
3,1,6,1,43,0.0121111,0.22032,20,-0.211375
3,8,2,1,44,0.0114167,0.17908,20,-0.236776
3,4,8,2,79,0.0130556,0.192825,20,-0.246889
3,1,2,1,37,0.0114167,0.22032,20,-0.20211
3,8,8,2,88,0.0130556,0.179077,20,-0.260424
3,7,8,1,40,0.0126667,0.188906,20,-0.245409
3,2,4,2,39,0.0121111,0.22032,20,-0.211375
3,1,2,2,80,0.0116111,0.22032,20,-0.204729
3,8,2,1,45,0.0114167,0.17908,20,-0.236776
3,3,4,1,95,0.0118889,0.183651,20,-0.239013
3,3,2,2,4,0.0123611,0.183654,20,-0.231724
3,5,4,2,61,0.0121111,0.176326,20,-0.249737
3,9,2,1,67,0.0114167,0.183667,20,-0.232572
3,3,2,3,67,0.0116111,0.183654,20,-0.235046
3,9,8,3,56,0.0130556,0.183667,20,-0.256034
3,1,2,1,35,0.0114167,0.220319,20,-0.202094
3,3,2,2,63,0.0116111,0.183654,20,-0.235045
3,4,4,2,87,0.0121111,0.192826,20,-0.233904
3,4,8,2,100,0.0130556,0.192824,20,-0.246879
3,8,12,2,89,0.0138889,0.17908,20,-0.271956
3,8,2,2,75,0.0116111,0.179078,20,-0.239614
3,4,4,3,75,0.0121111,0.192824,20,-0.233844
3,9,2,2,59,0.0116111,0.183658,20,-0.235144
3,2,2,1,57,0.0114167,0.22032,20,-0.20211
3,3,6,3,70,0.0126667,0.183651,20,-0.250141
3,6,2,2,25,0.0116111,0.18367,20,-0.235392
3,4,2,2,8,0.0116111,0.192822,20,-0.226662
3,8,4,3,18,0.0121111,0.179084,20,-0.247211
3,5,12,1,2,0.0130556,0.176323,20,-0.263206
3,10,8,1,77,0.0126667,0.176333,20,-0.257972
3,9,4,1,69,0.0118889,0.183667,20,-0.239506
3,9,12,1,62,0.0130556,0.183667,20,-0.256036
3,9,6,2,32,0.0126667,0.183658,20,-0.250332
3,3,4,2,85,0.0121111,0.183651,20,-0.242231
3,2,8,2,56,0.0130556,0.220322,20,-0.223644
3,3,2,3,89,0.0116111,0.183651,20,-0.234945
3,7,4,2,84,0.0121111,0.188906,20,-0.237609
3,2,2,1,46,0.0114167,0.22032,20,-0.20211
3,2,2,2,36,0.0116111,0.220322,20,-0.20479
3,4,6,2,3,0.0126667,0.192822,20,-0.241508
3,4,4,3,67,0.0121111,0.192825,20,-0.233854
3,2,4,3,78,0.0121111,0.22032,20,-0.211375
3,1,2,3,11,0.0116111,0.22032,20,-0.20473
3,10,2,2,59,0.0116111,0.176333,20,-0.242513
3,5,4,2,59,0.0121111,0.176323,20,-0.249636
3,2,2,3,81,0.0116111,0.220322,20,-0.20479
3,6,2,3,96,0.0116111,0.183664,20,-0.235193
3,1,2,2,5,0.0126111,0.22032,20,-0.20087
3,9,2,3,26,0.0116111,0.183658,20,-0.235144
3,10,14,3,38,0.0158333,0.176333,20,-0.300278
3,3,2,3,70,0.0116111,0.183651,20,-0.234946
3,7,2,3,42,0.0116111,0.188912,20,-0.230656
3,9,2,1,35,0.0114167,0.183658,20,-0.232269
3,1,8,1,43,0.0126667,0.22032,20,-0.218611
3,8,6,2,92,0.0126667,0.179081,20,-0.255102
3,5,14,1,75,0.0130556,0.176326,20,-0.263287
3,3,4,3,36,0.0121111,0.183654,20,-0.242329
3,1,4,3,91,0.0121111,0.220319,20,-0.211346
3,9,4,1,11,0.0118889,0.183667,20,-0.239506
3,10,8,2,25,0.0130556,0.176334,20,-0.263526
3,5,6,3,43,0.0126667,0.176328,20,-0.257848
3,2,2,2,90,0.0116111,0.22032,20,-0.20473
3,1,8,3,4,0.0130556,0.22032,20,-0.223587
3,10,4,2,60,0.0121111,0.176334,20,-0.249962
3,2,4,3,56,0.0121111,0.220322,20,-0.211434
3,6,4,3,3,0.0121111,0.183664,20,-0.242473
3,4,2,1,30,0.0114167,0.192826,20,-0.223984
3,2,2,3,69,0.0116111,0.220321,20,-0.204753
3,10,2,2,72,0.0116111,0.176333,20,-0.242514
3,5,4,3,49,0.0121111,0.176328,20,-0.249801
3,3,4,2,28,0.0121111,0.183651,20,-0.242231
3,2,8,2,87,0.0130556,0.220322,20,-0.223644
3,3,2,1,54,0.0114167,0.183651,20,-0.232069
3,3,4,2,69,0.0121111,0.183654,20,-0.242329
3,2,6,3,2,0.0126667,0.22032,20,-0.218611
3,8,2,2,36,0.0116111,0.179081,20,-0.239746
3,1,2,1,78,0.0114167,0.220319,20,-0.20208
3,10,8,2,62,0.0130556,0.176335,20,-0.263559
3,2,4,1,44,0.0118889,0.220321,20,-0.20846
3,7,12,3,94,0.0138889,0.188912,20,-0.26215
3,6,2,3,87,0.0116111,0.18367,20,-0.235392
3,1,2,1,85,0.0114167,0.220319,20,-0.202095
3,6,12,3,68,0.0138889,0.18367,20,-0.267295
3,4,2,1,77,0.0114167,0.192822,20,-0.223852
3,1,4,1,93,0.0118889,0.22032,20,-0.208437
3,1,4,3,18,0.0121111,0.22032,20,-0.211375
3,7,12,1,61,0.0130556,0.188906,20,-0.250761
3,1,6,1,90,0.0121111,0.220319,20,-0.211346
3,4,4,1,53,0.0118889,0.192822,20,-0.230633
3,5,8,1,27,0.0126667,0.176323,20,-0.257687
3,9,12,1,13,0.0130556,0.183658,20,-0.255752
3,3,4,2,84,0.0121111,0.183651,20,-0.242231
3,5,2,1,8,0.0114167,0.176323,20,-0.239283
3,9,4,2,58,0.0121111,0.183658,20,-0.242427
3,5,2,1,53,0.0114167,0.176323,20,-0.239283
3,3,2,3,55,0.0116111,0.183654,20,-0.235045
3,9,6,1,7,0.0121111,0.183658,20,-0.242427
3,10,6,1,39,0.0121111,0.176333,20,-0.249928
3,2,4,1,47,0.0118889,0.22032,20,-0.208438
3,5,10,2,41,0.0130556,0.176323,20,-0.263206
3,6,12,3,51,0.0138889,0.183664,20,-0.267113
3,1,2,1,40,0.0114167,0.220319,20,-0.20208
3,9,4,1,34,0.0118889,0.183658,20,-0.239209
3,3,4,2,9,0.0121111,0.183651,20,-0.242231
3,10,10,1,43,0.0126667,0.176339,20,-0.258172
3,2,2,3,52,0.0116111,0.22032,20,-0.20473
3,7,12,2,57,0.0138889,0.188912,20,-0.262149
3,7,4,3,75,0.0121111,0.188912,20,-0.237833
3,9,14,2,46,0.0138889,0.183658,20,-0.267072
3,2,8,1,90,0.0126667,0.22032,20,-0.218611
3,5,6,1,76,0.0121111,0.176325,20,-0.2497
3,7,2,2,32,0.0116111,0.188905,20,-0.230426
3,9,16,2,86,0.0158333,0.183667,20,-0.292249
3,6,2,3,4,0.0116111,0.18367,20,-0.235392
3,3,10,3,36,0.0138889,0.183654,20,-0.266981
3,8,10,2,43,0.0130556,0.179084,20,-0.260677
3,6,2,3,82,0.0116111,0.18367,20,-0.235392
3,2,2,1,87,0.0114167,0.220322,20,-0.202171
3,10,2,3,26,0.0116111,0.176333,20,-0.242512
3,6,4,3,94,0.0121111,0.18367,20,-0.242668
3,8,12,3,1,0.0138889,0.179077,20,-0.271861
3,4,6,3,21,0.0126667,0.192822,20,-0.241508
3,4,2,3,64,0.0116111,0.192822,20,-0.226661
3,1,10,2,50,0.0130556,0.220319,20,-0.223574
3,6,6,2,67,0.0126667,0.18367,20,-0.250568
3,4,4,2,41,0.0121111,0.192822,20,-0.233776
3,8,12,1,3,0.0130556,0.179077,20,-0.260425
3,2,2,3,15,0.0116111,0.22032,20,-0.20473
3,3,4,1,9,0.0118889,0.183651,20,-0.239013
3,5,2,2,48,0.0116111,0.176326,20,-0.242317
3,5,2,3,43,0.0116111,0.176328,20,-0.242383
3,4,14,1,17,0.0130556,0.192826,20,-0.246937
3,4,2,2,37,0.0116111,0.192826,20,-0.22679
3,4,10,3,81,0.0138889,0.192826,20,-0.25802
3,1,2,3,3,0.0121111,0.220319,20,-0.202769
3,2,2,1,41,0.0114167,0.22032,20,-0.20211
3,7,4,3,44,0.0121111,0.188912,20,-0.237833
3,10,4,2,14,0.0121111,0.176329,20,-0.2498
3,6,2,1,89,0.0114167,0.183664,20,-0.232317
3,9,2,2,44,0.0116111,0.183667,20,-0.235445
3,1,2,3,34,0.0116111,0.220319,20,-0.2047
3,1,2,3,84,0.0116111,0.220319,20,-0.204699
3,9,8,1,95,0.0126667,0.183658,20,-0.250332
3,2,4,1,50,0.0118889,0.220321,20,-0.208468
3,4,2,2,65,0.0116111,0.192822,20,-0.226662
3,9,2,1,96,0.0114167,0.183658,20,-0.232271
3,10,8,2,94,0.0130556,0.176329,20,-0.263364
3,6,4,3,75,0.0121111,0.18367,20,-0.242668
3,9,2,2,75,0.0116111,0.183667,20,-0.235445
3,2,2,2,76,0.0116111,0.22032,20,-0.20473
3,2,10,3,38,0.0138889,0.22032,20,-0.234008
3,3,6,3,28,0.0126667,0.183651,20,-0.250141
3,4,10,2,45,0.0130556,0.192822,20,-0.246814
3,9,2,2,60,0.0116111,0.183658,20,-0.235144
3,5,10,2,46,0.0130556,0.176323,20,-0.263206
3,10,4,2,34,0.0121111,0.176329,20,-0.2498
3,1,4,1,70,0.0118889,0.220319,20,-0.208407
3,5,12,2,63,0.0138889,0.176325,20,-0.274778
3,9,2,3,47,0.0116111,0.183658,20,-0.235144
3,10,4,2,3,0.0121111,0.176329,20,-0.2498
3,10,14,1,43,0.0130556,0.176339,20,-0.263683
3,4,4,1,15,0.0118889,0.192822,20,-0.230633
3,10,4,3,21,0.0121111,0.176329,20,-0.2498
3,8,16,2,32,0.0158333,0.17908,20,-0.297107
3,9,2,1,45,0.0114167,0.183658,20,-0.232271
3,9,4,3,91,0.0121111,0.183658,20,-0.242427
3,6,2,2,42,0.0116111,0.18367,20,-0.235391
3,2,2,1,40,0.0114167,0.22032,20,-0.20211
3,9,2,1,44,0.0114167,0.183667,20,-0.232572
3,10,2,3,40,0.0116111,0.176329,20,-0.242382
3,7,2,3,72,0.0116111,0.188906,20,-0.230427
3,2,2,2,70,0.0116111,0.22032,20,-0.20473
3,8,8,3,85,0.0130556,0.179081,20,-0.26055
3,7,6,3,99,0.0126667,0.188906,20,-0.245409
3,8,2,1,82,0.0114167,0.17908,20,-0.236776
3,2,2,1,79,0.0114167,0.220321,20,-0.202148
3,10,2,1,48,0.0114167,0.176335,20,-0.239661
3,1,4,3,13,0.0121111,0.220319,20,-0.211345
3,6,16,3,61,0.0166667,0.18367,20,-0.302287
3,3,10,2,52,0.0130556,0.183651,20,-0.255565
3,2,6,3,30,0.0126667,0.220322,20,-0.218669
3,7,4,1,54,0.0118889,0.188905,20,-0.234435
3,7,10,2,98,0.0130556,0.188905,20,-0.250761
3,3,4,2,9,0.0121111,0.183651,20,-0.242231
3,2,8,3,33,0.0130556,0.22032,20,-0.223587
3,4,4,2,16,0.0121111,0.192822,20,-0.233777
3,10,2,3,7,0.0116111,0.176329,20,-0.242382
3,7,2,1,82,0.0114167,0.188912,20,-0.227823
3,9,6,2,57,0.0126667,0.183658,20,-0.250332
3,8,6,3,89,0.0126667,0.17908,20,-0.255043
3,5,6,3,72,0.0126667,0.176323,20,-0.257687
3,2,4,3,91,0.0121111,0.22032,20,-0.211375
3,4,4,2,89,0.0121111,0.192824,20,-0.233826
3,9,2,2,82,0.0116111,0.183667,20,-0.235445
3,1,2,3,61,0.0116111,0.22032,20,-0.204729
3,7,2,3,48,0.0116111,0.188906,20,-0.230427
3,7,4,3,64,0.0121111,0.188906,20,-0.237609
3,3,8,2,17,0.0130556,0.183654,20,-0.255659
3,7,12,2,7,0.0138889,0.188906,20,-0.261941
3,5,2,3,73,0.0116111,0.176326,20,-0.242317
3,8,4,1,90,0.0118889,0.17908,20,-0.243797
