Topology,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,reliability,scalability
1.2,98,9600,3,4.4464e-17,0.2462,10,-0.58752
1.2,23,1216,3,0,0.18492,10,-0.037362
1.2,87,6720,2,3.0216e-17,0.25864,10,-0.44527
1.2,13,5888,3,0,0.18833,10,-0.11422
1.2,72,3328,1,0,0.23452,10,-0.23786
1.2,63,8384,1,0,0.25536,10,-0.42122
1.2,85,448,10,4.4548e-17,0.17786,10,-0.045916
1.2,53,1536,5,0,0.18049,10,-0.10757
1.2,26,832,3,4.4429e-17,0.18456,10,-0.028256
1.2,47,1216,3,0,0.18643,10,-0.073183
1.2,36,4544,5,0,0.18624,10,-0.21571
1.2,21,1600,8,0,0.18075,10,-0.048623
1.2,33,2816,2,4.4453e-17,0.22557,10,-0.1074
1.2,20,2048,10,0,0.17847,10,-0.061132
1.2,59,5376,9,Inf,0.21309,10,
1.2,98,192,1,0,0.22087,10,-0.015944
1.2,55,512,8,0,0.18021,10,-0.035127
1.2,8,320,8,0,0.17901,10,-0.0032249
1.2,91,8768,8,0,0.2321,10,-0.55856
1.2,16,256,10,0,0.17632,10,-0.0049685
1.2,68,6720,4,3.0216e-17,0.22273,10,-0.41987
1.2,68,5376,8,4.4552e-17,0.20206,10,-0.37437
1.2,62,1664,2,0,0.22582,10,-0.11179
1.2,58,7040,7,0,0.21527,10,-0.39273
1.2,72,2944,9,4.4451e-17,0.19585,10,-0.24351
1.2,46,4352,10,0,0.1885,10,-0.25063
1.2,12,832,4,0,0.19315,10,-0.012748
1.2,86,192,9,0,0.18411,10,-0.016809
1.2,29,320,6,1.0039e-16,0.18389,10,-0.011022
1.2,10,9152,1,3.5838e-17,0.22633,10,-0.11874
1.2,78,8768,8,0,0.2245,10,-0.52535
1.2,95,1088,8,5.5733e-17,0.18424,10,-0.1271
1.2,100,4544,8,3.06e-17,0.2073,10,-0.42383
1.2,50,384,8,4.4472e-17,0.17973,10,-0.022605
1.2,48,192,9,0,0.18383,10,-0.009483
1.2,85,2432,6,4.452e-17,0.1952,10,-0.23411
1.2,78,192,10,0,0.17672,10,-0.016007
1.2,65,768,1,4.4419e-17,0.22256,10,-0.051186
1.2,27,192,7,0,0.18893,10,-0.0055645
1.2,67,1088,3,0,0.18724,10,-0.091299
1.2,52,9600,8,4.4535e-17,0.21218,10,-0.45526
1.2,64,2112,2,0,0.22781,10,-0.1446
1.2,10,1664,3,0,0.18439,10,-0.024041
1.2,72,1984,10,0,0.18401,10,-0.17752
1.2,23,704,6,4.4431e-17,0.18427,10,-0.020945
1.2,93,2560,9,0,0.19737,10,-0.26467
1.2,27,9600,10,0,0.19344,10,-0.31564
1.2,46,576,7,5.633e-17,0.18997,10,-0.031713
1.2,60,1280,3,5.618e-17,0.18757,10,-0.098423
1.2,27,1856,6,0,0.18625,10,-0.069003
1.2,96,192,3,0,0.18419,10,-0.018626
1.2,13,3456,1,0,0.22284,10,-0.056817
1.2,31,640,8,4.4453e-17,0.17986,10,-0.025972
1.2,67,512,4,0,0.19425,10,-0.039419
1.2,15,448,2,4.443e-17,0.22045,10,-0.0067844
1.2,16,3328,6,Inf,0.18819,10,Inf
1.2,22,4352,7,4.4591e-17,0.19464,10,-0.13254
1.2,58,2816,3,4.4468e-17,0.19301,10,-0.19995
1.2,5,1280,7,0,0.18907,10,-0.0093423
1.2,53,4544,9,0,0.19834,10,-0.27739
1.2,58,4352,1,0,0.23571,10,-0.25202
1.2,4,960,1,0,0.22034,10,-0.0043186
1.2,42,832,7,4.452e-17,0.19051,10,-0.043866
1.2,9,1600,6,0,0.18428,10,-0.021228
1.2,49,5888,5,0,0.19442,10,-0.32705
1.2,90,1216,5,0,0.1818,10,-0.13516
1.2,43,1216,3,0,0.18618,10,-0.067421
1.2,91,3200,9,0,0.20096,10,-0.30947
1.2,8,2240,10,0,0.17717,10,-0.027998
1.2,53,3200,7,3.9593e-17,0.19905,10,-0.2112
