Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
1.3,2,1,0,5150,0.8,12,1,2.88e-05,0.00535739,18,-0.793514
1.3,4,0,1,1850,1,2,1,0.0002112,35.7273,18,-0.899991
1.3,2,0,1,2800,0.6,2,3,6.72e-05,21.6196,18,-0.899988
1.3,7,0,1,1700,0,2,1,0.0004368,28.5339,18,-0.899992
1.3,2,0,0,550,0.9,14,2,0,5.10453,18,-0.9
1.3,5,0,1,1500,0.1,8,2,0,19.8237,18,-0.9
1.3,3,0,0,750,1,14,2,0,10.8045,18,-0.9
1.3,1,0,0,6000,0,2,1,0.000744,14.4075,18,-0.899921
1.3,7,1,1,1950,0.6,2,3,0.0001344,0.00954535,18,-0.895629
1.3,2,1,0,1500,0.6,8,1,4.8e-05,0.00478689,18,-0.700041
1.3,10,1,0,1850,0.4,2,2,0.000288,0.000963627,18,-0.814182
1.3,6,1,1,3450,0.4,10,2,0,0.011961,18,-0.900028
1.3,4,1,1,2650,0.6,6,1,5.76e-05,0.0112908,18,-0.881138
1.3,4,0,0,6350,0.2,2,1,0.0002112,73.202,18,-0.899995
1.3,3,0,0,8100,0.4,2,3,0.0001008,81.9014,18,-0.899998
1.3,10,0,0,1050,0.4,6,1,0,35.4016,18,-0.9
1.3,7,1,0,700,0.3,2,2,0.0002016,0.0011309,18,-0.795057
1.3,6,0,0,5650,0,14,3,0,81.3052,18,-0.9
1.3,5,1,0,1950,1,4,2,0.000144,0.00169986,18,-0.857389
1.3,3,0,1,3800,0.4,2,3,0.0001008,38.7359,18,-0.899996
1.3,1,1,1,5450,0.1,2,2,0.0003984,0.0131892,18,-0.831668
1.3,7,0,1,700,0.7,4,3,0,20.1173,18,-0.9
1.3,8,1,1,1350,0.7,2,1,0.000192,0.00986597,18,-0.883135
1.3,8,1,0,7600,0.6,6,3,0,0.00246331,18,-0.900183
1.3,9,1,0,1000,0.9,2,2,0.0003888,0.00100212,18,-0.782145
1.3,2,1,1,2250,0.5,2,3,6.72e-05,0.0106628,18,-0.87338
1.3,1,0,1,650,0.8,10,3,4.32e-05,2.7071,18,-0.899903
1.3,2,1,1,9400,0.7,10,2,5.76e-05,0.0124127,18,-0.891469
1.3,5,1,0,750,0.1,2,3,0.000216,0.00122373,18,-0.803595
1.3,9,0,0,2400,0.4,6,2,0,72.9019,18,-0.9
1.3,3,0,0,9700,0.1,2,2,0.0001008,76.8017,18,-0.899997
1.3,2,0,0,8850,1,2,3,6.72e-05,85.8019,18,-0.899997
1.3,3,0,1,8600,0.4,16,1,1.44e-05,87.0824,18,-0.9
1.3,8,1,1,4050,0.7,2,1,0.000192,0.00986597,18,-0.883135
1.3,10,0,0,2700,0.9,6,1,0,124.2016,18,-0.9
1.3,4,0,1,800,0.9,6,2,1.92e-05,14.7128,18,-0.899999
1.3,2,0,0,700,0.6,2,2,0.0001056,5.40236,18,-0.899933
1.3,6,0,0,3150,0.2,10,3,0,54.3037,18,-0.9
1.3,8,0,1,700,0.9,12,3,0,25.8233,18,-0.9
1.3,3,1,0,1800,0.3,2,1,0.000216,0.00279049,18,-0.321774
1.3,5,0,1,2050,0.7,6,2,0,42.0349,18,-0.9
1.3,1,0,0,2500,0.7,4,3,3.36e-05,10.2039,18,-0.899953
1.3,8,1,1,1300,0.1,6,3,0,0.0109633,18,-0.900041
1.3,5,0,0,800,0.3,4,2,0.000144,12.6015,18,-0.899995
1.3,5,1,1,8600,0.7,14,1,0,0.0125638,18,-0.900022
1.3,7,0,1,4050,0,2,1,0.0004368,68.1791,18,-0.899997
1.3,7,1,0,5300,0.7,2,2,0.0002016,0.0011309,18,-0.795057
1.3,4,1,0,2000,0.4,4,3,1.92e-05,0.00177551,18,-0.890942
1.3,4,1,0,550,0.1,8,2,0,0.00281293,18,-0.90008
1.3,2,0,1,900,0.8,2,3,6.72e-05,7.80785,18,-0.899968
1.3,3,1,0,1150,0.1,4,3,0.0001296,0.00201392,18,-0.850219
1.3,6,0,1,3450,0.7,6,3,0,85.269,18,-0.9
1.3,3,1,0,700,0.6,4,2,4.32e-05,0.00224293,18,-0.798948
1.3,7,1,0,3700,0.4,10,3,0,0.00395518,18,-0.9001
1.3,3,1,1,2550,0.9,2,1,0.000216,0.0112905,18,-0.851819
1.3,2,1,1,2050,0.7,4,2,4.8e-05,0.0114158,18,-0.871139
1.3,6,1,1,10000,0.2,2,1,0.0002016,0.0101505,18,-0.876762
1.3,1,0,0,1500,0.8,6,3,3.36e-05,6.60425,18,-0.899938
1.3,10,1,0,750,0.7,2,2,0.000288,0.000963627,18,-0.814182
1.3,6,1,0,1650,0.7,8,2,0,0.00281362,18,-0.90012
1.3,4,0,1,1100,0,8,1,0.0002112,10.5149,18,-0.899983
1.3,5,1,0,4550,0.4,6,3,0,0.00246228,18,-0.900114
1.3,5,0,0,1800,0.2,2,3,0.000216,25.801,18,-0.899996
1.3,5,1,0,5000,0.4,10,3,0,0.0039545,18,-0.900071
1.3,4,0,1,8600,0.3,6,2,1.92e-05,107.8035,18,-0.8999998
1.3,9,1,0,6750,1,4,3,0,0.00171754,18,-0.900295
1.3,6,0,0,1700,0.8,10,3,0,44.4037,18,-0.9
1.3,4,1,0,700,0.1,6,2,1.92e-05,0.00224328,18,-0.891161
1.3,2,0,0,600,0.9,4,3,2.88e-05,5.40233,18,-0.899968
1.3,7,1,1,6950,1,2,3,0.0001344,0.00954535,18,-0.895629
1.3,7,1,1,2050,0.8,2,2,0.0002016,0.0096309,18,-0.890216
