Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
1.3,1,0,1,4700,0.3,4,2,5.28e-05,14.7186,0,3.85604e-07
1.3,8,1,0,7600,0.4,4,3,0,0.0017172,0,-2.5042e-10
1.3,10,1,0,5800,0.4,2,3,0,0.00097178,0,-3.1328e-10
1.3,3,0,0,1150,0,4,3,0.0001296,8.4018,0,4.7467e-08
1.3,8,0,1,500,0.8,2,1,0.000192,17.4143,0,8.69096e-08
1.3,8,0,0,2700,0.2,2,2,0.0004224,62.1008,0,6.82607e-08
1.3,1,0,0,550,0.2,2,2,0.0003984,1.5045,0,3.8446e-07
1.3,3,1,1,1350,1,2,3,0.0001008,0.010141,0,8.5717e-08
1.3,8,1,0,1100,1,8,1,0,0.0024192,0,-2.5042e-10
1.3,7,0,1,5300,0.4,2,2,0.0002016,125.5129,0,5.095159e-08
1.3,7,0,1,2150,0.3,2,2,0.0002016,47.1453,0,5.09516e-08
1.3,6,0,0,2700,0,4,3,0,39.0015,0,-1.87907e-10
1.3,5,0,1,750,0,4,2,0.000144,9.0118,0,3.5983e-08
1.3,8,1,1,900,0.1,4,2,0,0.01002,0,-2.5042e-10
1.3,10,1,0,6750,0.6,4,3,0,0.0017179,0,-3.1328e-10
1.3,8,1,0,1550,0.4,6,1,3.84e-05,0.0019365,0,1.133e-08
1.3,6,0,0,750,0.4,4,1,8.64e-05,15.0017,0,7.76768e-08
1.3,9,1,0,750,0.8,6,2,0,0.0021673,0,-2.8186e-10
1.3,1,0,0,2500,0.9,16,2,5.28e-05,11.4067,0,1.78458e-07
1.3,2,1,1,8350,0.7,6,2,2.88e-05,0.011752,0,1.2397e-07
1.3,1,1,1,3550,0,2,3,7.2e-05,0.012214,0,3.1305e-07
1.3,5,0,0,850,1,2,1,0.00012,20.7016,0,1.35078e-07
1.3,6,0,1,1650,0.8,2,2,8.64e-05,43.2336,0,4.96906e-08
1.3,6,0,0,5150,0.1,8,3,0,81.603,0,-1.87907e-10
1.3,6,0,0,9400,0.1,8,2,0,148.8026,0,-1.879068e-10
1.3,3,1,0,8100,0.3,2,1,0.000216,0.0027905,0,2.482e-07
