Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
2.1,5,0,1,2950,6,0.3,5700,359,6,2,2,0.00062667,1.5482,0,0.00014074
2.1,10,1,1,9750,8,0,9950,72,6,2,3,0,1.3899,0,0.00012624
2.1,8,1,1,7050,7,0,4100,56,7,4,2,0,1.42,0,0.00012894
2.1,7,0,1,5750,9,0.3,8700,22,2,2,1,0.0049056,1.5016,0,0.00013694
2.1,9,1,0,7900,1,0.1,2250,711,6,2,3,0,0.71313,0,2.7969e-05
2.1,10,0,0,6400,3,0.7,9850,17,7,6,2,0,3.5119,0,2.6048e-05
2.1,10,0,0,4850,2,0.3,8000,35,8,6,3,0,1.0741,0,2.6033e-05
2.1,6,0,1,6250,6,0.8,4050,14,4,10,3,0,1.5235,0,0.00013815
2.1,4,0,0,8600,10,0.8,9700,87,6,6,3,0,8.256,0,4.1962e-05
2.1,10,0,1,7450,2,0,5600,9,5,2,2,0.000576,1.4433,0,0.00013113
2.1,7,0,1,850,7,0.5,6000,557,2,2,1,0.00053589,1.5012,0,0.00013641
2.1,9,1,1,2000,5,0.6,6150,33,8,2,3,0,1.409,0,0.00012799
2.1,3,1,1,4900,7,0.8,2700,310,10,16,3,,1.6182,0,
2.1,6,0,0,1400,8,0.6,7350,23,1,2,2,0.0021024,1.7097,0,3.3387e-05
2.1,1,1,1,4100,9,0.6,8450,83,1,4,1,0.0012881,2.41,0,0.00021906
2.1,10,1,1,2800,3,0.6,4250,310,4,2,2,0.00048084,1.3898,0,0.00012627
2.1,10,0,0,2750,6,0.2,3300,106,6,4,3,0,1.3174,0,2.6048e-05
2.1,8,1,1,4750,3,0,3200,65,5,16,3,0,1.4234,0,0.00012908
2.1,6,1,0,4300,10,0.2,2100,42,7,4,2,0.00042042,1.8578,0,3.3528e-05
2.1,3,1,1,1450,1,0,9250,46,5,4,1,0.0011712,1.6504,0,0.00015011
2.1,1,1,0,2400,2,0.7,7600,111,6,4,2,0.00023025,1.4609,0,0.00012901
2.1,8,0,1,1200,5,0.4,9200,62,10,4,1,0.00052078,1.4725,0,0.00013379
2.1,9,0,0,5750,3,0.2,2500,135,9,10,2,0,1.2716,0,2.7747e-05
2.1,10,1,1,8000,4,0.8,900,44,4,2,3,0,1.39,0,0.00012623
2.1,5,0,1,4600,6,0.7,800,56,10,6,3,0,1.5492,0,0.00014065
2.1,10,1,1,8350,1,0.8,1450,10,2,4,1,0.000576,1.391,0,0.00012634
2.1,9,0,0,2800,1,0.2,4900,75,4,4,1,0.0003888,0.47839,0,2.7832e-05
2.1,6,1,1,3900,6,0.4,4050,62,8,2,2,0.00066066,1.4691,0,0.00013355
2.1,9,0,0,9550,10,0.2,3200,458,9,2,2,0.00074557,5.435,0,2.7827e-05
2.1,3,0,1,900,7,0.5,1550,75,8,14,2,0,1.6996,0,0.00015413
2.1,10,1,0,3950,1,0.9,4450,310,6,4,1,0.00048084,0.51485,0,2.629e-05
2.1,2,0,1,3700,7,0.1,6100,14,3,4,3,4.8e-05,1.9106,0,0.00017356
2.1,9,1,0,3800,10,0.3,1950,295,3,2,1,0.00067568,3.1714,0,2.8097e-05
2.1,6,0,0,7200,6,0.2,4250,26,6,2,2,0.0021024,1.9444,0,3.339e-05
2.1,1,1,0,1550,6,0.6,7950,281,8,6,3,9.335e-05,1.4614,0,0.00011994
2.1,7,1,1,7050,10,1,3600,12,9,6,1,0.0003024,1.4504,0,0.00013167
