Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,lambda_parallel_instances,lambda_allocated_memory,latency,cost,reliability,scalability
2.2,9,1,1,8850,9,0.3,1800,396,7,44,8000,0,1.4093,0,0.0001279
2.2,10,0,0,1100,9,0.4,6050,42,10,61,2368,0,1.6602,0,2.6203e-05
2.2,9,0,0,8800,7,0.9,6950,243,9,59,512,0,13.6873,0,2.77401e-05
2.2,10,0,0,8450,8,0.2,7800,157,10,51,1024,0,4.4275,0,2.7043e-05
2.2,6,1,0,2950,6,0.8,1250,49,1,32,960,0,2.515,0,3.339e-05
2.2,2,0,0,3200,2,0.5,650,458,3,43,3200,3.3064841848e-17,2814750.8018,0,312.75005856
2.2,6,0,1,9600,2,0,4500,11,2,10,384,0,1.52,0,0.0001381
2.2,3,1,0,7400,10,0.8,1250,530,4,80,3968,0,5.2926,0,4.9738e-05
2.2,4,1,1,6500,3,0.6,9900,42,3,1,6720,3.21768949626e-17,11259000.6356,0,1251.00003893
2.2,7,1,1,6350,2,0.9,7300,190,7,88,4160,0,1.4499,0,0.00013155
2.2,8,0,1,6450,4,0.2,3550,27,10,90,9600,4.4535e-17,1.492,0,0.00013548
2.2,10,1,0,1900,7,0.8,1150,26,1,24,384,0,3.0327,0,2.6151e-05
2.2,10,0,0,6700,9,0,600,46,5,42,960,0,0.74348,0,2.5984e-05
2.2,5,1,1,5300,8,0.3,5750,129,3,56,320,0,1.4967,0,0.000136
2.2,6,0,1,2450,3,0.4,3200,310,4,11,4352,0,1.5195,0,0.00013806
2.2,3,1,0,6450,4,0.3,3650,746,5,1,3072,0,1.1607,0,4.9746e-05
2.2,4,0,1,4650,6,0.6,4800,10,8,75,768,0,1.6186,0,0.00014708
2.2,1,1,1,8400,5,0.9,8650,181,6,8,640,0,2.4029,0,0.00021842
2.2,3,1,1,7450,2,1,4300,157,8,69,128,0,1.6476,0,0.00014975
2.2,6,1,0,850,2,0.6,900,62,4,70,640,0,0.48587,0,3.3449e-05
2.2,4,1,1,2750,4,0.2,2950,481,5,66,1344,0,1.5673,0,0.00014238
2.2,10,0,0,7600,9,0,8600,396,6,44,1792,0,0.80397,0,2.5949e-05
2.2,4,1,0,4800,8,0.6,500,8,5,23,640,0,2.9067,0,4.2489e-05
2.2,5,0,0,4050,4,1,5050,19,3,83,1856,0,2.3995,0,3.6057e-05
2.2,7,1,0,8800,1,0.4,6150,711,5,43,2240,0,0.69867,0,3.1485e-05
2.2,8,0,0,6600,8,0.6,7950,9,2,5,256,0,7.4674,0,2.8696e-05
2.2,9,1,0,9450,6,0.9,3500,25,8,52,448,4.4631e-17,11.8499,0,2.80574e-05
2.2,1,0,1,5450,5,0.1,6500,14,6,19,1088,0,2.4367,0,0.00022149
2.2,4,0,0,1950,9,0.7,500,416,3,89,4928,4.0034e-17,1.7951,0,4.1873e-05
2.2,4,0,0,4200,4,0.9,3150,505,2,36,576,0,1.9353,0,4.1913e-05
2.2,6,0,0,4100,6,0,2500,342,7,81,128,0,0.53161,0,3.3063e-05
2.2,1,0,0,6100,9,0.8,9350,101,6,67,5888,0,2.5394,0,0.00011663
2.2,2,1,0,2400,8,0.5,500,823,9,88,1088,5.140843638e-17,703688.7185,0,78.18756295
2.2,6,0,1,7700,6,0.4,5150,101,5,15,2240,0,1.52,0,0.00013804
2.2,7,1,0,8150,3,0.3,3050,326,4,36,2432,0,1.6614,0,3.1528e-05
2.2,1,0,0,2500,8,0.7,8500,21,5,74,192,0,1.7124,0,0.00011646
