Topology,lambda_parallel_instances,lambda_allocated_memory,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,car_cache,latency,cost,reliability,scalability
1.4,5,7680,1,1,2050,1,6,0,0.0027242,0,-4.5772e-10
1.4,24,192,0,1,750,0.2,4,0,8.7585,0,-2.2457e-11
1.4,34,960,0,0,3450,0.8,4,0,60.6601,0,-1.63404e-10
1.4,31,6464,1,0,850,0,10,0,0.013261,0,-7.5988e-10
1.4,43,1728,1,1,850,0.1,1,0,0.015534,0,-4.6093e-11
1.4,5,2560,0,1,1750,0.9,8,0,66.2856,0,-4.81162e-10
1.4,95,1088,0,1,2400,0.5,10,0,88.5902,0,-4.65731e-10
1.4,86,448,1,1,1250,0.1,1,4.4418e-17,0.011141,0,-1.0672e-12
1.4,75,1344,0,1,950,0.3,8,4.45836e-17,24.2707,0,-4.02326e-10
1.4,46,768,0,1,5650,0,2,0,27.1699,0,-6.32746e-11
1.4,50,6464,0,0,600,0,6,0,8.9254,0,-4.5144e-10
1.4,84,576,0,0,1650,0.9,1,0,7.6098,0,-1.1724e-11
1.4,18,4928,0,0,6150,0.9,6,0,170.1425,0,-4.123842e-10
1.4,84,1536,1,0,700,0.7,8,0,0.0071092,0,-4.05e-10
1.4,40,576,0,0,1500,0.3,10,5.74562e-17,47.4721,0,-3.67e-10
1.4,67,832,1,1,9700,0.8,8,0,0.01322,0,-3.3925e-10
1.4,89,128,1,1,2500,0,6,0,0.0081316,0,-1.7195e-11
1.4,23,896,0,0,5650,0.2,5,0,82.9192,0,-2.07118e-10
1.4,53,128,1,0,9400,0.6,9,0,0.00048346,0,-8.6841e-11
1.4,25,192,0,0,900,0.9,8,0,33.1885,0,-1.28806e-10
1.4,94,192,0,1,2400,0.8,4,0,41.9704,0,-2.24572e-11
1.4,12,1088,0,1,800,0.2,2,5.5733e-17,4.5993,0,-8.2843e-11
1.4,96,3328,0,1,950,0.4,10,0,32.551,0,-6.50902e-10
