Topology,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,reliability,scalability
1.2,32,2240,6,0,0.18755,0,1.668e-05
1.2,16,448,2,4.443e-17,0.22047,0,2.0013e-05
1.2,88,2432,9,4.5524e-17,0.19579,0,1.6699e-05
1.2,95,2048,6,0,0.19452,0,1.668e-05
1.2,56,9600,7,0,0.22457,0,1.7155e-05
1.2,86,1088,1,5.5733e-17,0.22498,0,2.0013e-05
1.2,25,1472,2,4.4446e-17,0.22211,0,2.0013e-05
1.2,48,256,4,0,0.19316,0,1.7513e-05
1.2,12,832,8,0,0.1794,0,1.6263e-05
1.2,77,7360,8,2.8943e-17,0.21574,0,1.6263e-05
1.2,34,6144,6,0,0.19672,0,1.668e-05
1.2,27,256,1,0,0.22044,0,2.0013e-05
1.2,18,7360,2,0,0.22876,0,2.0013e-05
1.2,84,256,9,0,0.18438,0,1.668e-05
1.2,60,320,8,0,0.17973,0,1.6263e-05
1.2,79,192,2,0,0.22073,0,2.0013e-05
1.2,61,512,3,0,0.18494,0,1.668e-05
1.2,79,1856,7,0,0.1968,0,1.7156e-05
1.2,70,7680,2,0,0.25509,0,2.0013e-05
1.2,61,1088,6,0,0.18692,0,1.668e-05
1.2,23,3328,3,3.3533e-17,0.18935,0,1.6538e-05
1.2,20,5888,1,0,0.22761,0,2.0013e-05
1.2,4,832,1,4.4416e-17,0.22031,0,2.0013e-05
1.2,98,1984,7,0,0.19942,0,1.7156e-05
1.2,33,1024,1,0,0.22189,0,2.0013e-05
1.2,21,5376,1,0,0.2273,0,2.0013e-05
1.2,32,4736,7,0,0.19808,0,1.7156e-05
1.2,92,6144,3,0,0.21928,0,1.668e-05
1.2,96,960,9,0,0.18809,0,1.668e-05
1.2,47,1664,1,3.8467e-17,0.22451,0,2.0006e-05
1.2,73,768,2,0,0.22286,0,2.0013e-05
1.2,60,128,10,0,0.17643,0,1.6013e-05
1.2,70,448,8,4.4548e-17,0.18031,0,1.6263e-05
1.2,66,448,6,4.4453e-17,0.18482,0,1.668e-05
1.2,7,2432,10,4.4012e-17,0.17713,0,1.6014e-05
1.2,47,640,10,0,0.17761,0,1.6013e-05
1.2,2,7360,7,0,0.18969,0,1.7155e-05
1.2,83,5376,2,0,0.24841,0,2.0013e-05
1.2,71,1472,6,4.4503e-17,0.18906,0,1.668e-05
1.2,32,256,4,0,0.19299,0,1.7513e-05
1.2,68,1280,7,0,0.19337,0,1.7156e-05
1.2,77,256,5,0,0.17697,0,1.6013e-05
1.2,77,448,9,0,0.18503,0,1.668e-05
1.2,68,512,6,0,0.18511,0,1.668e-05
1.2,84,384,1,0,0.22155,0,2.0013e-05
1.2,61,1344,3,0,0.18785,0,1.668e-05
1.2,92,7680,5,0,0.22208,0,1.6013e-05
1.2,70,1216,3,0,0.18788,0,1.668e-05
1.2,1,448,7,0,0.18875,0,1.7156e-05
1.2,16,320,9,5.5957e-17,0.1837,0,1.668e-05
1.2,61,2112,1,0,0.22745,0,2.0013e-05
1.2,22,3776,7,0,0.19372,0,1.7156e-05
1.2,8,2240,6,0,0.18451,0,1.668e-05
1.2,95,128,8,0,0.17935,0,1.6263e-05
1.2,40,2560,1,0,0.22612,0,2.0013e-05
1.2,76,128,7,0,0.18909,0,1.7156e-05
1.2,51,1344,8,4.4584e-17,0.18256,0,1.6263e-05
1.2,28,384,8,4.4472e-17,0.17937,0,1.6263e-05
1.2,97,256,4,0,0.19368,0,1.7513e-05
1.2,10,7680,9,0,0.18848,0,1.6679e-05
1.2,74,4160,6,0,0.20247,0,1.668e-05
1.2,37,256,9,0,0.18388,0,1.668e-05
1.2,91,3456,4,0,0.21152,0,1.7513e-05
1.2,50,2240,3,0,0.18983,0,1.668e-05
1.2,15,448,4,4.4453e-17,0.19295,0,1.7513e-05
1.2,14,320,6,1.0039e-16,0.18368,0,1.668e-05
1.2,6,768,8,0,0.17912,0,1.6263e-05
1.2,88,1792,5,3.8779e-17,0.18495,0,1.6028e-05
1.2,82,512,4,0,0.19461,0,1.7513e-05
1.2,14,2240,1,0,0.22192,0,2.0013e-05
1.2,24,9152,10,0,0.1908,0,1.6013e-05
1.2,99,192,2,0,0.22088,0,2.0013e-05
1.2,43,1344,5,0,0.17923,0,1.6013e-05
1.2,63,1152,8,0,0.18265,0,1.6263e-05
1.2,72,1536,2,0,0.22605,0,2.0013e-05
1.2,63,7360,10,0,0.20629,0,1.6013e-05
1.2,73,256,9,0,0.18426,0,1.668e-05
1.2,13,3328,1,0,0.22274,0,2.0013e-05
1.2,65,128,10,0,0.17646,0,1.6013e-05
1.2,18,192,4,0,0.19278,0,1.7513e-05
1.2,68,320,10,0,0.17709,0,1.6013e-05
1.2,4,1088,7,0,0.18896,0,1.7156e-05
1.2,41,128,7,0,0.18892,0,1.7156e-05
1.2,22,1984,4,0,0.19505,0,1.7513e-05
1.2,80,5888,8,0,0.20874,0,1.6263e-05
1.2,71,832,7,4.452e-17,0.19173,0,1.7161e-05
1.2,8,704,5,5.6505e-17,0.17642,0,1.6013e-05
1.2,41,448,3,4.4453e-17,0.1843,0,1.668e-05
1.2,74,5888,8,0,0.2065,0,1.6263e-05
1.2,4,1472,6,4.4503e-17,0.1838,0,1.668e-05
1.2,25,704,9,4.4545e-17,0.18433,0,1.668e-05
1.2,31,1088,8,5.5733e-17,0.18064,0,1.6263e-05
1.2,45,4928,7,0,0.20241,0,1.7156e-05
1.2,9,9600,6,4.4571e-17,0.18925,0,1.668e-05
1.2,21,192,1,0,0.2203,0,2.0013e-05
1.2,3,576,6,0,0.18357,0,1.668e-05
1.2,85,1984,6,0,0.19277,0,1.668e-05
1.2,22,384,7,5.6825e-17,0.1891,0,1.7156e-05
1.2,33,1280,2,0,0.2224,0,2.0013e-05
1.2,46,9984,4,7.2472e-17,0.22327,0,1.7513e-05
