1.1,1.2,1.3,1.4,2.1,2.2,3.0,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,lambda_parallel_instances,lambda_allocated_memory,ec2_vcpus,ec2_memorylevel,ec2_instances,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,latency,cost,reliability,scalability
0,0,0,0,1,0,0,8,1.0,0.0,8000.0,7.0,0.1,7400.0,585.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036822,1.7931,0,2.8977e-05
0,0,0,0,1,0,0,10,1.0,0.0,2100.0,2.0,0.6,4400.0,27.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77367,0,2.6238e-05
0,0,0,0,1,0,0,7,1.0,1.0,2150.0,7.0,0.9,2200.0,181.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038596,1.449,0,0.00013164
0,0,0,0,1,0,0,5,1.0,0.0,7550.0,6.0,0.4,7900.0,54.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7944,0,3.6039e-05
0,0,0,0,1,0,0,2,0.0,0.0,9100.0,10.0,0.5,1850.0,96.0,10.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2204,0,0.0
0,0,0,0,1,0,0,10,0.0,0.0,4400.0,2.0,0.8,3800.0,68.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6492,0,2.6034e-05
0,0,0,0,1,0,0,8,0.0,1.0,3800.0,8.0,0.1,2200.0,20.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018432,1.4728,0,0.00013396
0,0,0,0,1,0,0,7,1.0,0.0,8150.0,8.0,1.0,2500.0,38.0,8.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2125,0,3.15754e-05
0,0,0,0,1,0,0,6,1.0,0.0,3750.0,6.0,0.5,5100.0,190.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033736,2.1221,0,3.347e-05
0,0,0,0,1,0,0,6,0.0,0.0,900.0,8.0,0.7,5600.0,135.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6096e-05,1.4047,0,3.3096e-05
0,0,0,0,1,0,0,9,1.0,0.0,8600.0,5.0,0.2,7450.0,864.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00089651,2.5382,0,2.8114e-05
0,0,0,0,1,0,0,1,1.0,1.0,5850.0,4.0,0.7,9950.0,255.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1833e-05,2.4062,0,0.00021865
0,0,0,0,1,0,0,4,1.0,1.0,9400.0,5.0,0.3,8950.0,8.0,2.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5726,0,0.00014247
0,0,0,0,1,0,0,4,1.0,1.0,9150.0,7.0,0.6,1600.0,677.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6686e-05,1.5678,0,0.00014245
0,0,0,0,1,0,0,1,0.0,0.0,5400.0,9.0,0.4,5850.0,142.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012881,1.8481,0,0.0001168
0,0,0,0,1,0,0,3,0.0,0.0,3050.0,3.0,1.0,2250.0,92.0,2.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1557,0,4.9107e-05
0,0,0,0,1,0,0,2,1.0,0.0,7350.0,9.0,0.4,2850.0,14.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001824,2.2094,0,6.9541e-05
0,0,0,0,1,0,0,4,0.0,0.0,1300.0,4.0,0.3,5300.0,51.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044033,0.66076,0,4.2035e-05
0,0,0,0,1,0,0,2,1.0,1.0,4950.0,4.0,0.4,4150.0,27.0,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007008,1.8671,0,0.00016971
0,0,0,0,1,0,0,2,0.0,1.0,3950.0,5.0,0.0,8600.0,30.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025824,1.9104,0,0.00017393
0,0,0,0,1,0,0,6,1.0,0.0,850.0,3.0,1.0,8100.0,40.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00093093,0.69342,0,3.3636e-05
0,0,0,0,1,0,0,5,0.0,1.0,9850.0,7.0,0.8,6200.0,31.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5492,0,0.00014066
0,0,0,0,1,0,0,5,0.0,1.0,2350.0,8.0,0.7,7200.0,281.0,7.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5501,0,0.00014061
0,0,0,0,1,0,0,4,1.0,0.0,2450.0,2.0,0.8,1100.0,87.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022017,0.7503,0,4.2504e-05
0,0,0,0,1,0,0,9,1.0,1.0,9050.0,1.0,0.0,8800.0,68.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4088,0,0.000128
0,0,0,0,1,0,0,8,1.0,1.0,700.0,9.0,0.3,8750.0,530.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4197,0,0.00012891
0,0,0,0,1,0,0,4,0.0,0.0,1750.0,6.0,0.9,7850.0,243.0,5.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6271,0,4.2041e-05
0,0,0,0,1,0,0,4,1.0,0.0,2900.0,8.0,0.3,4500.0,295.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022752,1.2385,0,4.2535e-05
0,0,0,0,1,0,0,8,1.0,0.0,2550.0,4.0,0.0,2400.0,11.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43754,0,2.8965e-05
0,0,0,0,1,0,0,4,0.0,0.0,7300.0,2.0,0.6,2850.0,746.0,6.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1788,0,4.1913e-05
0,0,0,0,1,0,0,10,0.0,0.0,1100.0,4.0,0.6,9300.0,746.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005227,1.1763,0,2.608e-05
0,0,0,0,1,0,0,10,1.0,0.0,3200.0,7.0,0.1,9350.0,255.0,9.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0274,0,2.6219e-05
0,0,0,0,1,0,0,9,0.0,1.0,7050.0,4.0,0.9,9550.0,220.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4613,0,0.00013276
0,0,0,0,1,0,0,9,1.0,1.0,3350.0,8.0,0.3,6350.0,33.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.411,0,0.000128
0,0,0,0,1,0,0,5,0.0,0.0,1500.0,10.0,0.6,6500.0,8.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,1.8689,0,3.5794e-05
0,0,0,0,1,0,0,1,0.0,0.0,3050.0,1.0,0.8,9500.0,23.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032415,1.4454,0,0.0001325
0,0,0,0,1,0,0,2,0.0,1.0,5150.0,8.0,0.2,2650.0,481.0,5.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002401,1.9108,0,0.00017351
0,0,0,0,1,0,0,10,0.0,0.0,3900.0,2.0,0.8,2200.0,458.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4797,0,2.6013e-05
0,0,0,0,1,0,0,5,0.0,1.0,2950.0,6.0,0.3,5700.0,359.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00062667,1.5482,0,0.00014074
0,0,0,0,1,0,0,10,1.0,1.0,9750.0,8.0,0.0,9950.0,72.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3899,0,0.00012624
0,0,0,0,1,0,0,8,1.0,1.0,7050.0,7.0,0.0,4100.0,56.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,0,0.00012894
0,0,0,0,1,0,0,7,0.0,1.0,5750.0,9.0,0.3,8700.0,22.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049056,1.5016,0,0.00013694
