Topology,lambda_parallel_instances,lambda_allocated_memory,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,car_cache,latency,cost,reliability,scalability
1.4,4,4736,0,0,850,0.5,5,0,15.4035,0,-3.41957e-10
1.4,87,1600,0,1,3700,0.5,9,3.492929e-17,120.7437,0,-1.336221e-08
1.4,29,6144,1,0,2150,0.3,6,0,0.011512,0,-4.3464e-10
1.4,96,640,0,1,1300,0.7,5,4.44534e-17,27.6173,0,-1.80583e-10
1.4,86,3328,0,1,2900,0.5,8,0,85.6395,0,-5.16369e-10
1.4,73,320,0,1,750,0.8,2,0,6.856,0,-1.9851e-11
1.4,50,384,1,0,1050,0.5,1,0,0.0010564,0,7.8569e-12
1.4,57,5376,1,1,3800,0.9,6,4.4486e-17,0.032559,0,-4.291e-10
1.4,92,1472,1,0,800,0.2,7,4.4503e-17,0.0074512,0,-3.4922e-10
1.4,44,1792,0,1,4150,0.7,4,0,69.4397,0,-2.08701e-10
1.4,65,896,1,0,2000,0.7,10,0,0.003143,0,-4.3302e-10
1.4,64,1856,1,0,1050,0.6,3,0,0.0067594,0,-1.5468e-10
1.4,51,4352,1,0,900,0.4,10,0,0.013921,0,-6.7983e-10
1.4,61,320,0,0,1600,0.9,6,1.00385e-16,45.7706,0,-1.59547e-10
1.4,33,2112,1,0,1500,1,10,0,0.0041832,0,-5.7086e-10
1.4,27,384,1,0,7150,0.4,5,0,0.00067518,0,-1.2785e-10
1.4,38,704,0,1,4400,0.3,5,5.65049e-17,70.3378,0,-1.87112e-10
1.4,38,192,1,1,1950,1,7,0,0.0083261,0,-1.0181e-10
1.4,49,576,0,0,2550,1,2,0,25.2583,0,-5.12326e-11
1.4,78,4928,1,1,3000,0.8,3,4.6541e-17,0.036829,0,3.5388e-08
1.4,1,384,1,0,7850,0.1,3,0,0.00024178,0,-5.9731e-11
1.4,48,2368,1,1,5650,0.6,5,0,0.018228,0,-2.8363e-10
1.4,81,896,0,1,4700,0.6,4,4.0349e-17,73.8367,0,6.55767e-09
1.4,60,6720,1,1,700,0.8,5,0,0.026439,0,-3.7669e-10
1.4,31,128,1,1,550,0.2,10,0,0.0078606,0,-1.2443e-10
1.4,12,8384,0,1,1150,0.7,1,0,4.9042,0,-7.9916e-11
1.4,11,5376,0,1,4550,1,1,0,22.6335,0,-7.02709e-11
1.4,12,256,1,0,2400,0.7,10,0,0.00036299,0,-2.5654e-10
1.4,62,448,1,1,7600,0,10,4.4548e-17,0.010661,0,-3.333e-10
1.4,91,7680,1,1,650,0.1,9,0,0.045658,0,-6.8763e-10
1.4,85,192,1,0,1000,0.9,5,0,0.00085147,0,-4.8929e-11
1.4,66,128,1,1,1600,0.5,8,0,0.0080242,0,-6.4824e-11
1.4,17,6720,0,1,1950,0.7,7,0,57.2168,0,-5.3275e-10
1.4,25,1408,0,1,2800,0.9,10,0,131.2033,0,-5.012129e-10
1.4,80,1472,1,0,8600,1,10,4.4645e-17,0.0065109,0,-5.142e-10
1.4,4,1664,0,0,8100,0.8,1,3.84672e-17,36.2669,0,-6.62625e-10
1.4,73,448,1,0,3000,0.5,5,4.4489e-17,0.0017004,0,-1.4629e-10
1.4,89,320,1,1,3550,0,4,0,0.010307,0,-8.1496e-11
1.4,88,704,1,1,950,1,2,1.0135e-16,0.013133,0,5.6748e-09
1.4,84,768,1,0,7400,0.9,2,0,0.0033426,0,-6.3275e-11
1.4,69,256,0,1,2650,0.8,8,0,95.6823,0,-1.86395e-10
1.4,91,960,0,1,650,0.6,4,0,9.9714,0,-1.634e-10
1.4,95,1856,0,1,4550,0.6,2,0,35.4761,0,-1.00278e-10
1.4,3,192,0,0,600,0.3,3,0,5.7326,0,3.9909e-12
1.4,34,1472,1,0,1700,1,5,4.4503e-17,0.0028967,0,-2.4551e-10
1.4,99,1088,1,1,750,0.3,8,5.5733e-17,0.016336,0,-3.7576e-10
