Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,lambda_parallel_instances,lambda_allocated_memory,latency,cost,reliability,scalability
2.2,5,0,0,7900,2,0.5,8600,49,4,97,512,0,1.2629,0,3.5675e-05
2.2,3,1,1,4350,5,0.5,3650,864,9,51,192,0,1.6476,0,0.00014973
2.2,6,0,1,950,7,0.8,8300,585,7,91,5632,0,1.5206,0,0.00013803
2.2,7,0,1,800,2,0.6,9950,44,10,47,960,0,1.5004,0,0.00013628
2.2,10,1,1,3650,6,0.6,8250,62,1,80,3968,0,1.3944,0,0.00012624
2.2,7,1,0,1700,7,0.9,2000,106,5,28,4352,0,2.2734,0,3.1523e-05
2.2,5,0,0,5500,3,0.4,8050,436,6,79,576,0,1.2612,0,3.5604e-05
2.2,1,1,0,4250,8,1,1700,190,1,44,8000,0,2.192,0,0.00011841
2.2,7,0,0,7200,10,0.3,4450,220,1,44,1792,0,4.7413,0,3.1235e-05
2.2,9,1,1,4400,9,0.7,6050,9,7,41,320,0,1.409,0,0.00012801
2.2,5,1,0,7100,10,0.4,3050,359,5,62,256,0,4.2904,0,3.6014e-05
2.2,3,1,0,3200,3,0.2,650,13,7,70,9984,4.4488e-17,0.73915,0,5.1984e-05
2.2,9,0,1,1450,9,0,6650,190,8,48,192,0,1.4611,0,0.00013269
2.2,8,1,1,3550,6,0.1,4300,149,9,7,2560,0,1.4192,0,0.00012884
2.2,8,0,1,1250,1,0.8,1600,8,1,57,8768,0,1.4916,0,0.00013503
2.2,2,0,1,2550,3,0.1,9100,65,5,19,7680,0,1.9093,0,0.00017354
2.2,8,0,0,8050,6,0.3,1200,295,10,3,320,0,3.553,0,2.9987e-05
2.2,2,0,0,8700,6,0.6,6000,75,1,20,768,0,2.4315,0,6.8413e-05
2.2,6,0,0,9250,5,0.2,3050,8,9,93,1088,0,2.0497,0,3.3286e-05
2.2,7,0,0,2700,6,0.8,2100,22,5,63,384,0,2.7431,0,3.1273e-05
2.2,1,0,0,4900,1,0.7,4000,326,5,57,448,0,1.4317,0,0.00012946
2.2,2,0,1,2900,2,0.7,2300,46,6,11,1408,4.4451e-17,1.9235,0,0.00017511
2.2,6,1,0,3050,8,0.4,1750,30,7,51,704,5.4952e-17,1.9534,0,3.3436e-05
2.2,4,1,1,4800,1,0.2,6750,92,5,77,384,0,1.5673,0,0.00014241
2.2,3,0,1,7450,2,0.6,7550,42,4,23,256,0,1.6953,0,0.0001541
2.2,1,0,1,1900,10,0.2,5300,23,5,43,128,0,2.4361,0,0.00022144
2.2,2,1,0,3850,7,0.6,4400,377,7,97,6144,0,1.61,0,6.9469e-05
2.2,7,1,0,6150,4,0.8,4400,28,3,78,2816,3.5435e-17,3.5832,0,3.1985e-05
2.2,5,0,1,7600,3,0.2,5000,19,5,94,1280,0,1.5507,0,0.00014095
2.2,6,1,0,3550,8,0.9,6000,200,5,13,1024,0,4.3658,0,3.3401e-05
2.2,6,1,1,3350,4,0.4,3250,8,3,19,3456,0,1.4709,0,0.00013358
2.2,8,0,0,2700,5,1,8300,56,8,4,4928,0,3.3428,0,2.8655e-05
2.2,10,0,0,8200,1,0.3,2450,585,8,29,1024,0,0.84463,0,2.5951e-05
2.2,8,0,0,8600,6,0.4,1350,79,7,41,2112,0,4.7913,0,2.8653e-05
2.2,10,0,0,9200,8,0.7,8400,157,3,5,5632,0,14.5305,0,2.5953e-05
2.2,1,0,1,7350,4,0.7,5550,19,2,65,256,0,2.4364,0,0.00022146
2.2,8,0,1,6450,7,0.9,5750,711,1,97,5632,2.9839e-17,1.4803,0,0.00013352
2.2,1,1,1,2400,2,0.6,700,40,10,9,1472,4.4439e-17,2.4034,0,0.00021844
2.2,9,0,0,6750,4,0.1,4700,907,9,27,448,0,1.2642,0,2.7759e-05
2.2,6,1,0,6250,7,0.9,3050,51,9,21,256,0,6.4313,0,3.3429e-05
2.2,9,1,1,6150,4,0.6,7600,585,4,10,3328,0,1.4088,0,0.00012789
2.2,2,1,1,2550,6,0.6,8700,9,6,10,576,0,1.8645,0,0.00016947
2.2,8,1,0,8900,1,0.3,750,31,3,78,192,0,0.7243,0,2.8916e-05
2.2,3,0,1,6100,4,0.6,9100,27,4,20,4544,4.99365961602e-17,16888500.3004,0,1876.49999899
2.2,1,0,0,4000,2,0.6,5800,16,10,74,192,0,1.4217,0,0.00012076
2.2,1,1,0,5050,2,1,7800,585,7,83,320,0,1.4774,0,0.00011841
2.2,9,0,1,4250,1,0.1,2100,75,4,21,256,0,1.4607,0,0.00013274
2.2,7,1,0,3800,8,0.1,8250,51,4,86,1600,0,1.0387,0,3.1656e-05
2.2,4,1,0,5150,5,0.8,5700,59,3,22,4352,0,2.4898,0,4.2493e-05
2.2,10,0,1,650,2,0.9,3450,117,9,2,512,0,1.4418,0,0.00013098
2.2,5,0,0,5800,3,0.6,6450,49,1,75,2816,0,1.6547,0,3.5683e-05
2.2,4,1,1,6200,4,0.6,2550,17,6,31,1792,0,1.569,0,0.00014257
2.2,5,1,0,4950,5,0.4,7100,26,3,13,1472,4.248e-17,1.6828,0,3.6075e-05
2.2,6,0,0,2100,9,0.3,5550,42,9,12,4928,0,1.4402,0,3.317e-05
2.2,3,0,0,2050,9,0,7500,310,1,80,192,0,0.58246,0,4.9063e-05
2.2,1,1,1,1400,6,0.4,7900,436,9,47,832,0,2.4029,0,0.00021841
