Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
1.3,10,0,0,6000,0.6,14,2,0,231.9045,0,-3.132825e-10
1.3,3,1,1,3150,0.3,4,2,4.32e-05,0.010743,0,8.5263e-08
1.3,1,1,1,2650,0.3,12,3,4.32e-05,0.014095,0,1.0425e-07
1.3,8,1,1,1200,0.6,16,2,0,0.013904,0,-2.5042e-10
1.3,7,0,1,950,0.2,2,3,0.0001344,19.22,0,2.30047e-08
1.3,9,1,1,700,0.5,10,3,0,0.012456,0,-2.8186e-10
1.3,4,0,0,4050,0.6,2,2,9.6e-05,62.4013,0,8.82216e-08
1.3,5,1,1,2900,0.1,6,3,0,0.010962,0,-1.5636e-10
1.3,5,0,0,10000,0.5,10,2,0,180.9032,0,-1.563573e-10
1.3,9,1,1,3250,0.7,2,3,0,0.0094714,0,-2.8186e-10
1.3,9,1,0,1400,0,4,2,0,0.00152,0,-2.8186e-10
1.3,8,0,0,2000,0.3,14,3,0,49.8052,0,-2.50415e-10
1.3,10,0,0,2800,0.6,6,1,0,108.0016,0,-3.132825e-10
1.3,4,0,0,650,0.6,2,3,5.76e-05,9.9012,0,5.27e-08
1.3,8,1,1,9400,0.4,12,3,0,0.013202,0,-2.5042e-10
1.3,9,0,0,1200,0.6,2,2,0.0003888,41.7008,0,5.73033e-08
1.3,9,0,0,10000,0.6,2,2,0.0003888,347.7008,0,5.730332e-08
1.3,8,1,0,3050,0.1,10,3,0,0.0039555,0,-2.5042e-10
1.3,5,1,0,4400,0.1,4,3,0,0.0017162,0,-1.5636e-10
1.3,2,0,0,1900,0.8,2,3,6.72e-05,16.5019,0,1.40046e-07
1.3,3,0,0,9400,0.1,12,2,0,74.4039,0,-9.37648e-11
1.3,4,1,1,2000,0.8,2,3,5.76e-05,0.0098875,0,5.27e-08
1.3,6,1,1,900,0.9,12,1,0,0.012016,0,-1.8791e-10
