Topology,car_cache,ec2_vcpus,ec2_memorylevel,ec2_instances,latency,cost,reliability,scalability
3,9,12,1,92,0.013056,0.18366,0,1.6679e-05
3,7,2,1,55,0.011417,0.18891,0,1.7155e-05
3,10,14,1,98,0.013056,0.17634,0,1.6011e-05
3,10,4,3,15,0.012111,0.17633,0,1.6012e-05
3,5,12,3,96,0.013889,0.17633,0,1.6013e-05
3,7,2,3,94,0.011611,0.18891,0,1.7155e-05
3,7,8,3,40,0.013056,0.18891,0,1.7155e-05
3,7,2,3,4,0.011611,0.18891,0,1.7155e-05
3,3,2,1,83,0.011417,0.18365,0,1.668e-05
3,7,2,3,4,0.011611,0.18891,0,1.7155e-05
3,5,2,3,80,0.011611,0.17633,0,1.6013e-05
3,2,4,2,65,0.012111,0.22032,0,2.0013e-05
3,8,8,1,68,0.012667,0.17908,0,1.6262e-05
3,7,2,1,50,0.011417,0.18891,0,1.7155e-05
3,10,2,2,23,0.011611,0.17633,0,1.6012e-05
3,8,2,2,70,0.011611,0.17908,0,1.6262e-05
3,9,14,2,14,0.013889,0.18366,0,1.6679e-05
3,2,2,3,26,0.011611,0.22032,0,2.0013e-05
3,9,2,3,35,0.011611,0.18366,0,1.6679e-05
3,2,2,2,48,0.011611,0.22032,0,2.0013e-05
3,4,10,2,55,0.013056,0.19283,0,1.7513e-05
3,10,2,3,76,0.011611,0.17633,0,1.6012e-05
3,4,4,1,6,0.011889,0.19283,0,1.7513e-05
3,6,8,3,13,0.013056,0.18366,0,1.6679e-05
3,6,4,1,34,0.011889,0.18366,0,1.6679e-05
3,2,10,1,53,0.012667,0.22032,0,2.0013e-05
3,2,6,1,66,0.012111,0.22032,0,2.0013e-05
3,7,8,2,9,0.013056,0.18891,0,1.7155e-05
3,3,12,1,83,0.013056,0.18365,0,1.668e-05
3,6,16,1,45,0.013889,0.18366,0,1.6679e-05
3,2,14,1,78,0.013056,0.22032,0,2.0013e-05
3,9,12,1,40,0.013056,0.18366,0,1.6679e-05
3,3,10,2,92,0.013056,0.18365,0,1.668e-05
3,2,2,1,14,0.011417,0.22032,0,2.0013e-05
3,9,4,2,15,0.012111,0.18366,0,1.6679e-05
3,9,6,2,52,0.012667,0.18366,0,1.6679e-05
3,5,2,1,13,0.011417,0.17632,0,1.6013e-05
3,2,2,2,5,0.012611,0.22032,0,2.0124e-05
3,10,14,2,49,0.013889,0.17633,0,1.6012e-05
3,4,12,2,12,0.013889,0.19283,0,1.7513e-05
