Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
2.1,7,1,0,8750,8,0.4,6250,243,3,4,1,0.00084211,5.6525,0,3.1708e-05
2.1,7,0,1,2350,6,0.5,7250,232,8,4,1,0.00082339,1.5014,0,0.00013642
2.1,6,1,1,6450,6,0.5,2000,15,6,6,2,0,1.4705,0,0.00013346
2.1,1,0,1,4350,5,0,4350,14,10,8,2,3.84e-05,2.4415,0,0.00022178
2.1,2,1,1,8750,9,0.1,3200,505,5,16,1,0.0002401,1.8668,0,0.00016951
2.1,4,1,1,5950,1,0,2350,614,7,6,1,2.6686e-05,1.5688,0,0.00014249
2.1,6,0,0,7900,9,0,5800,17,10,4,2,0.0006912,0.68851,0,3.3222e-05
2.1,8,1,1,6400,1,0.2,1000,96,9,4,2,0,1.4201,0,0.00012892
2.1,2,1,0,8750,9,0.5,9750,101,3,2,1,0.0020523,2.8894,0,6.9761e-05
2.1,4,1,0,6750,2,0.3,4000,181,6,4,1,0.0004003,0.85662,0,4.2607e-05
2.1,8,0,1,9000,4,0.6,7100,359,7,6,3,0,1.4729,0,0.00013369
2.1,4,0,0,5650,9,0.5,9150,12,9,10,3,0,3.4423,0,4.1968e-05
2.1,1,0,0,8550,2,0.9,2300,481,3,6,1,0.00011502,1.6774,0,0.00012883
2.1,1,0,0,6050,3,0.8,2600,8,1,14,1,0.0001152,1.6598,0,0.00012182
2.1,6,0,0,7150,7,0.8,5450,377,6,4,2,0,6.8327,0,3.3107e-05
2.1,6,0,1,8650,7,0,9100,27,6,6,3,0,1.5216,0,0.00013814
2.1,6,0,1,9650,9,0.4,5300,190,7,8,3,0,1.5219,0,0.00013812
2.1,3,1,1,9850,2,0.7,6850,18,4,2,2,0.0024624,1.6497,0,0.00015017
2.1,2,0,1,3850,1,0.2,5300,54,10,2,1,0.0036327,1.9115,0,0.00017395
2.1,1,0,1,7200,5,0.1,6700,165,2,2,2,0.00083559,2.4397,0,0.00022174
2.1,4,0,0,8650,4,0.8,5700,342,8,14,1,0,3.178,0,4.1927e-05
2.1,9,1,0,2700,5,0.2,9200,36,2,4,2,0,1.0094,0,2.7987e-05
2.1,1,1,1,3100,5,0.5,6350,458,9,4,1,0.00063031,2.4074,0,0.00021874
2.1,2,1,1,9000,2,0.6,8450,416,8,12,2,0,1.8666,0,0.00016936
2.1,9,1,0,4050,8,0,3200,165,2,2,2,0.00088452,0.51629,0,2.8082e-05
2.1,4,1,1,1650,10,1,8000,165,10,2,3,,1.5437,0,
2.1,8,1,1,6250,2,0.6,3800,210,4,2,1,0.00064092,1.4198,0,0.00012904
2.1,4,0,0,3000,9,0,4750,614,10,2,2,,0.51989,0,
2.1,5,1,1,9600,3,0,2650,359,10,2,3,,1.4781,0,
2.1,10,0,1,8700,4,0.1,7400,135,5,4,1,0.00069465,1.443,0,0.00013113
2.1,1,1,0,8550,5,0.3,1700,210,10,2,1,,1.5576,0,
2.1,6,1,0,1300,5,0.7,1700,220,9,10,2,0,1.0462,0,3.3401e-05
2.1,9,1,1,9450,2,0.9,9300,268,4,8,1,0,1.4098,0,0.00012795
2.1,10,0,1,750,8,0.3,3850,17,5,10,3,0,1.4458,0,0.00013106
2.1,5,0,1,6950,8,0.4,700,823,5,12,3,0,1.5496,0,0.00014061
2.1,9,0,0,6350,7,0.3,1450,9,2,2,1,0.0005616,3.7016,0,2.7909e-05
2.1,8,0,0,1350,9,1,8350,14,2,10,2,0,3.661,0,2.8729e-05
2.1,9,1,0,8300,6,0.2,8750,23,7,2,3,0,2.8921,0,2.7996e-05
2.1,7,0,0,7950,9,0.6,9050,784,3,4,2,0,8.8807,0,3.1281e-05
2.1,10,1,1,3800,4,0.8,8050,44,4,4,2,0,1.3905,0,0.00012624
2.1,8,1,0,2200,10,0.2,4950,9,2,2,3,7.68e-05,1.3354,0,2.897e-05
2.1,2,0,0,1450,10,0.2,4600,10,7,2,2,0.0001632,0.95012,0,6.8666e-05
2.1,9,0,1,4300,7,0.6,600,135,5,2,2,0.00086486,1.4614,0,0.00013287
2.1,8,0,1,3600,3,0.7,9450,458,5,4,3,0,1.4718,0,0.00013366
2.1,3,0,0,4700,5,0.2,5200,557,2,2,1,0.00055692,0.98248,0,4.9339e-05
2.1,6,1,1,6650,7,0.7,5050,31,2,4,2,0.0006912,1.4699,0,0.00013356
2.1,9,1,1,2250,4,0.1,7550,123,8,2,1,0.0009009,1.4092,0,0.00012813
2.1,6,0,1,7250,1,0.2,6950,72,5,2,2,0.0005184,1.5204,0,0.0001382
2.1,5,0,1,3800,10,0.4,5500,96,6,12,2,0,1.5504,0,0.0001407
