Topology,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,reliability,scalability
1.2,78,2560,9,0,0.19513,0,1.6679e-05
1.2,59,1984,2,0,0.22659,0,2.0013e-05
1.2,22,128,5,0,0.17625,0,1.6013e-05
1.2,33,448,5,4.4489e-17,0.17681,0,1.6013e-05
1.2,19,7680,10,0,0.18564,0,1.6013e-05
1.2,60,128,10,0,0.17643,0,1.6013e-05
1.2,69,192,10,0,0.17666,0,1.6013e-05
1.2,32,4352,5,0,0.18474,0,1.6013e-05
1.2,59,1024,6,0,0.18661,0,1.668e-05
1.2,18,1664,2,0,0.2218,0,2.0013e-05
1.2,45,1344,5,0,0.17938,0,1.6013e-05
1.2,84,9984,10,0,0.23207,0,1.6013e-05
1.2,75,320,1,4.4418e-17,0.22119,0,2.0013e-05
1.2,19,1600,7,0,0.1904,0,1.7156e-05
1.2,37,2048,9,0,0.18778,0,1.6679e-05
1.2,26,448,2,4.443e-17,0.22067,0,2.0013e-05
1.2,53,4736,3,0,0.19896,0,1.668e-05
1.2,79,832,6,4.6366e-17,0.18683,0,1.6686e-05
1.2,99,2560,10,0,0.19094,0,1.6013e-05
1.2,10,6464,1,0,0.22435,0,2.0013e-05
1.2,13,2048,4,0,0.19416,0,1.7513e-05
1.2,32,4160,4,0,0.20086,0,1.7513e-05
1.2,61,960,3,0,0.18641,0,1.668e-05
1.2,84,1600,1,0,0.22754,0,2.0013e-05
1.2,27,256,6,0,0.18378,0,1.668e-05
1.2,21,1088,8,5.5733e-17,0.18008,0,1.6263e-05
1.2,96,3648,1,0,0.24116,0,2.0013e-05
1.2,94,9152,7,7.3082e-17,0.24609,0,1.7155e-05
1.2,96,576,10,5.7456e-17,0.17873,0,1.6013e-05
1.2,1,1088,2,5.5733e-17,0.2202,0,2.0013e-05
1.2,32,256,6,0,0.18383,0,1.668e-05
1.2,66,576,1,0,0.22192,0,2.0013e-05
1.2,5,128,1,0,0.22017,0,2.0013e-05
1.2,2,9152,8,0,0.18012,0,1.6263e-05
1.2,76,128,2,0,0.22051,0,2.0013e-05
1.2,27,6464,10,0,0.1875,0,1.6013e-05
1.2,100,576,3,0,0.18617,0,1.668e-05
1.2,19,3328,8,0,0.1827,0,1.6263e-05
1.2,19,832,1,4.4416e-17,0.22094,0,2.0013e-05
1.2,66,3968,9,0,0.1992,0,1.6679e-05
1.2,79,832,4,0,0.19594,0,1.7513e-05
1.2,6,4544,2,0,0.22183,0,2.0013e-05
1.2,1,448,10,4.4548e-17,0.17617,0,1.6013e-05
1.2,68,704,9,4.4545e-17,0.18579,0,1.668e-05
1.2,68,1792,5,3.8779e-17,0.18295,0,1.6024e-05
1.2,97,4736,1,4.4422e-17,0.24848,0,2.0013e-05
1.2,15,1088,6,0,0.18433,0,1.668e-05
1.2,30,832,4,0,0.1939,0,1.7513e-05
1.2,14,8384,4,0,0.20048,0,1.7513e-05
1.2,84,128,5,0,0.17654,0,1.6013e-05
1.2,8,512,10,0,0.17634,0,1.6013e-05
1.2,86,256,6,0,0.18441,0,1.668e-05
1.2,30,6720,1,0,0.23325,0,2.0013e-05
1.2,79,256,8,0,0.17974,0,1.6263e-05
1.2,24,320,3,0,0.18381,0,1.668e-05
1.2,98,704,7,9.3697e-17,0.19212,0,1.7149e-05
1.2,5,384,9,4.4506e-17,0.18356,0,1.668e-05
1.2,47,128,5,0,0.17637,0,1.6013e-05
1.2,83,5888,4,0,0.2236,0,1.7513e-05
1.2,24,4928,5,0,0.18344,0,1.6013e-05
1.2,51,256,2,0,0.22069,0,2.0013e-05
1.2,91,9984,4,7.2472e-17,0.25322,0,1.7513e-05
1.2,83,8384,9,0,0.22988,0,1.6679e-05
1.2,85,2560,2,0,0.23284,0,2.0013e-05
1.2,24,832,1,4.4416e-17,0.22115,0,2.0013e-05
1.2,27,9600,4,7.2568e-17,0.20993,0,1.7513e-05
1.2,58,1856,10,0,0.18207,0,1.6013e-05
1.2,40,2688,3,0,0.18975,0,1.668e-05
1.2,7,1984,7,0,0.18949,0,1.7156e-05
1.2,30,1600,4,0,0.19529,0,1.7513e-05
1.2,81,640,7,0,0.19124,0,1.7156e-05
1.2,64,8768,3,0,0.22089,0,1.668e-05
1.2,60,192,6,0,0.18393,0,1.668e-05
1.2,85,128,4,0,0.19305,0,1.7513e-05
1.2,71,5632,6,0,0.20882,0,1.668e-05
1.2,100,832,3,4.4429e-17,0.18764,0,1.668e-05
1.2,48,256,2,0,0.22066,0,2.0013e-05
1.2,27,3456,7,0,0.19433,0,1.7156e-05
1.2,97,3776,6,0,0.20547,0,1.668e-05
1.2,46,448,8,4.4548e-17,0.17983,0,1.6263e-05
1.2,10,192,8,0,0.17897,0,1.6263e-05
1.2,36,1664,3,0,0.18677,0,1.668e-05
1.2,72,640,8,4.4453e-17,0.18113,0,1.6263e-05
1.2,100,192,5,0,0.17689,0,1.6013e-05
1.2,10,3072,10,0,0.17795,0,1.6013e-05
1.2,9,1216,6,0,0.18406,0,1.668e-05
1.2,69,448,7,0,0.19012,0,1.7156e-05
1.2,20,2240,7,0,0.19127,0,1.7156e-05
1.2,46,256,5,0,0.17664,0,1.6013e-05
1.2,60,512,9,0,0.18491,0,1.668e-05
