e_SQS,queue_size,timeout,e_S3,e_lambda,parallel_instances,lambda_chunk_size,time,cost
1,180,0.5,1,1,220,256,3.90625,0.0005679108
1,400,9,1,1,120,300,3.378378,0.0003641813
1,400,3,1,1,400,64,15.625,0.000272427
1,1000,9,1,1,12,64,15.625,2.410506e-05
1,600,9,1,1,500,410,2.45098,0.001028259
1,300,8,1,1,220,8,125,0.0001434001
1,100,10,1,1,1,380,2.659574,1.485967e-05
1,32,4,1,1,120,380,2.659574,0.0004594632
1,700,6,1,1,120,340,2.97619,0.0002077778
1,700,4,1,1,300,12,125,0.0001438001
1,180,0.1,1,1,100,32,31.25,6.405026e-05
1,50,0.1,1,1,400,48,20.83333,0.0002136349
1,180,0.3,1,1,180,300,3.378378,0.0005441827
1,1000,2,1,1,24,16,62.5,6.906005e-05
1,8,0.8,1,1,16,320,3.125,5.512541e-05
1,24,1,1,1,600,12,125,0.0001978006
1,800,0.8,1,1,4,300,3.040541,1.464063e-05
1,32,0.1,1,1,50,164,6.25,8.905066e-05
1,32,9,1,1,12,340,2.97619,4.457652e-05
1,220,0.3,1,1,8,320,3.125,2.95252e-05
1,500,0.8,1,1,32,380,2.659574,0.0001250605
1,600,9,1,1,4,380,2.659574,1.105964e-05
1,300,5,1,1,300,48,20.83333,0.0001656345
1,8,5,1,1,700,300,3.378378,0.002104195
1,220,0.8,1,1,32,24,41.66667,5.014673e-05
1,100,2,1,1,120,8,125,0.0001354001
1,600,10,1,1,220,320,3.125,0.0003559278
1,12,0.1,1,1,120,164,6.25,0.0002038516
1,120,0.5,1,1,8,164,6.25,2.01701e-05
1,180,5,1,1,32,380,2.659574,0.0001250605
1,1000,1,1,1,32,256,3.515625,7.804421e-05
1,12,0.1,1,1,120,256,3.90625,0.0003119087
1,1000,0.5,1,1,220,360,2.5,0.0007161057
1,16,9,1,1,300,340,2.97619,0.001023784
1,24,0.3,1,1,600,192,5.208333,0.001158018
1,500,0.5,1,1,4,24,41.66667,4.755471e-05
1,12,5,1,1,2,32,31.25,3.7106e-05
1,600,2,1,1,2,380,2.659574,1.485967e-05
1,180,7,1,1,100,8,125,0.0001338001
1,800,4,1,1,24,164,6.25,2.673016e-05
1,50,0.3,1,1,700,16,62.5,0.0001753009
1,180,7,1,1,220,410,2.45098,0.0009052582
1,120,1,1,1,4,320,3.125,1.67251e-05
1,32,0.5,1,1,120,164,6.25,0.0002038516
1,100,0.5,1,1,1,164,6.25,1.361005e-05
1,600,0.8,1,1,1,12,59,6.334003e-05
1,24,9,1,1,180,300,3.378378,0.0005441827
1,1000,2,1,1,400,8,125,0.0001418001
1,12,1,1,1,12,12,125,0.0001334321
1,8,2,1,1,700,164,6.25,0.001155059
1,120,9,1,1,220,12,125,0.0001522002
1,100,0.5,1,1,800,340,2.97619,0.002723798
1,180,10,1,1,700,340,2.97619,0.002383795
1,600,5,1,1,16,320,3.125,2.95252e-05
1,100,10,1,1,120,16,62.5,8.250015e-05
1,500,0.8,1,1,12,300,3.378378,4.017867e-05
1,180,1,1,1,600,164,6.25,0.0009910579
1,100,8,1,1,120,410,2.45098,0.0004952549
1,24,6,1,1,1,300,3.378378,1.017843e-05
1,220,0.3,1,1,220,340,2.97619,0.0007517822
1,12,1,1,1,400,128,7.8125,0.0005206166
1,24,0.1,1,1,32,128,7.8125,4.957283e-05
1,180,5,1,1,1,360,2.777778,1.077784e-05
1,50,2,1,1,50,12,125,0.0001378001
1,800,0.8,1,1,16,16,56.25,6.165804e-05
1,50,10,1,1,800,16,62.5,0.000191301
1,700,9,1,1,220,64,15.625,8.682556e-05
1,100,6,1,1,4,360,2.777778,1.797789e-05
1,8,0.5,1,1,300,340,2.97619,0.001023784
1,700,4,1,1,1,12,58.2,6.249203e-05
1,120,7,1,1,500,64,15.625,0.0003364276
1,800,0.3,1,1,1000,164,6.25,0.001647063
1,1000,6,1,1,2,128,7.8125,1.373254e-05
1,400,1,1,1,8,300,3.378378,2.817857e-05
1,16,4,1,1,300,256,3.90625,0.0007727124
1,700,0.8,1,1,1000,32,28.125,0.0003169273
1,400,7,1,1,24,128,7.8125,3.933275e-05
1,500,0.8,1,1,16,8,125,0.00013092
1,16,5,1,1,400,410,2.45098,0.001643264
1,500,8,1,1,600,16,62.5,0.0001593008
1,300,0.3,1,1,600,12,125,0.0001978006
1,400,5,1,1,24,64,15.625,3.178512e-05
1,8,2,1,1,32,24,41.6667,5.01467e-05
1,800,3,1,1,24,164,6.25,2.673016e-05
1,1000,2,1,1,500,48,20.83333,0.0001416343
1,500,4,1,1,8,410,2.45098,3.605124e-05
1,600,9,1,1,220,380,2.659574,0.0004214629
1,500,9,1,1,700,8,125,0.0001818004
1,24,9,1,1,120,320,3.125,0.0003879281
1,8,4,1,1,180,32,31.25,8.965046e-05
1,400,7,1,1,8,128,7.8125,1.885258e-05
1,700,0.8,1,1,24,192,4.6875,4.695983e-05
1,120,4,1,1,1,410,2.45098,1.145105e-05
