Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,lambda_parallel_instances,lambda_allocated_memory,latency,cost,reliability,scalability
2.2,1,1,0,4200,2,0.4,1900,30,7,75,576,0,1.4043,0,0.00012163
2.2,8,0,1,6050,10,0.1,950,530,7,92,320,0,1.4707,0,0.00013365
2.2,5,0,1,8450,10,0.2,4050,864,5,48,1728,0,1.5474,0,0.0001406
2.2,7,1,1,1500,6,0.3,5250,11,1,44,1216,0,1.4497,0,0.00013166
2.2,3,1,1,1400,4,1,6750,49,10,75,320,5.73412609511e-17,16888500.2505,0,1876.49999452
2.2,2,1,1,3500,2,0.9,4800,27,5,79,1216,5.4944e-17,1.866,0,0.00016961
2.2,5,1,1,7400,3,0.6,7200,28,4,43,704,0,1.4978,0,0.00013608
2.2,3,1,1,3500,7,0.4,7150,746,3,36,640,0,1.6476,0,0.00014975
2.2,9,1,0,7650,8,0.5,6000,40,2,44,8384,0,7.6691,0,2.8426e-05
2.2,10,0,0,6100,10,0.8,2150,18,10,71,4160,0,13.6234,0,2.68827e-05
2.2,2,0,0,5850,10,0.9,5500,21,4,51,4736,9.02937979115e-17,22518001.8444,0,-2501.99972384
2.2,5,1,1,550,6,0.8,6600,123,7,64,6144,0,1.4989,0,0.00013619
2.2,3,1,1,1800,6,0.7,8600,907,5,55,128,0,1.6475,0,0.00014974
2.2,9,0,0,6200,10,0.9,4100,157,8,89,1856,3.42706979629e-17,50665509.9842,0,-5629.49950638
2.2,5,0,1,9800,10,0.7,3300,92,6,56,3328,0,1.5488,0,0.00014067
2.2,6,0,0,2450,4,0.5,2400,220,1,71,7680,0,1.1408,0,3.3076e-05
2.2,10,1,1,4450,3,0,2200,106,9,93,1664,4.1464e-17,1.3905,0,0.00012625
2.2,4,0,1,6750,1,0.5,5900,83,9,77,2240,0,1.6181,0,0.00014699
2.2,10,0,1,6200,9,0.7,8700,16,1,26,1152,0,1.4436,0,0.00013107
2.2,7,1,0,6800,2,0,3400,181,3,28,320,5.9342374502e-17,9851624.8034,0,1094.624941
2.2,7,0,0,6650,6,0.3,6000,746,5,22,640,0,2.7693,0,3.1229e-05
2.2,6,0,0,6400,10,0.3,7500,173,2,71,4928,0,3.7986,0,3.306e-05
2.2,10,1,0,2250,1,0.2,5750,907,10,2,832,0,0.31167,0,1.6544e-05
2.2,9,1,0,8900,7,0.2,9600,377,1,32,8000,0,3.5451,0,2.7897e-05
2.2,8,1,0,5100,1,0,4550,210,10,18,320,0,0.5385,0,3.0239e-05
2.2,5,0,1,4150,9,0.7,8900,11,9,56,2944,4.4528e-17,1.5539,0,0.00014104
2.2,6,0,1,500,4,0,2650,342,6,29,3200,0,1.5197,0,0.00013806
