1.1,1.2,1.3,1.4,2.1,2.2,3.0,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,lambda_parallel_instances,lambda_allocated_memory,ec2_vcpus,ec2_memorylevel,ec2_instances,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,latency,cost,reliability,scalability
0,0,0,0,1,0,0,7,0.0,1.0,6400.0,3.0,0.7,1700.0,614.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5016,0,0.00013628
0,0,0,0,1,0,0,8,1.0,0.0,900.0,1.0,0.2,6700.0,96.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00074565,0.41476,0,3.5054e-05
0,0,0,0,1,0,0,10,1.0,1.0,8300.0,9.0,0.3,4600.0,56.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3912,0,0.00012625
0,0,0,0,1,0,0,7,0.0,0.0,1700.0,4.0,0.2,7250.0,18.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008064,0.67736,0,3.1411e-05
0,0,0,0,1,0,0,6,0.0,0.0,950.0,7.0,0.3,5550.0,65.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005184,0.78795,0,3.3218e-05
0,0,0,0,1,0,0,4,0.0,1.0,4000.0,7.0,0.0,2200.0,326.0,4.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6208,0,0.00014691
0,0,0,0,1,0,0,5,1.0,0.0,8350.0,4.0,0.0,5050.0,9.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000288,0.63711,0,3.6124e-05
0,0,0,0,1,0,0,4,0.0,0.0,5100.0,4.0,0.0,6950.0,59.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044033,0.60148,0,4.2022e-05
0,0,0,0,1,0,0,4,0.0,1.0,5500.0,3.0,0.8,9500.0,220.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044971,1.6179,0,0.00014704
0,0,0,0,1,0,0,8,1.0,0.0,8600.0,8.0,0.0,9400.0,92.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024036,0.71101,0,2.8954e-05
