Topology,car_cache,ec2_vcpus,ec2_memorylevel,ec2_instances,latency,cost,reliability,scalability
3,7,14,2,78,0.013889,0.18891,0,1.7155e-05
3,6,2,2,41,0.011611,0.18366,0,1.6679e-05
3,8,2,1,92,0.011417,0.17908,0,1.6262e-05
3,7,8,1,52,0.012667,0.18891,0,1.7155e-05
3,3,2,3,60,0.011611,0.18365,0,1.668e-05
3,2,4,1,35,0.011889,0.22032,0,2.0013e-05
3,8,6,1,98,0.012111,0.17908,0,1.6262e-05
3,3,4,2,7,0.012111,0.18365,0,1.668e-05
3,10,10,1,92,0.012667,0.17634,0,1.6011e-05
3,7,2,3,18,0.011611,0.18891,0,1.7155e-05
3,4,4,1,55,0.011889,0.19283,0,1.7513e-05
3,4,2,1,26,0.011417,0.19282,0,1.7513e-05
3,8,10,3,81,0.013889,0.17908,0,1.6262e-05
3,10,2,1,23,0.011417,0.17633,0,1.6012e-05
3,10,12,2,100,0.013889,0.17633,0,1.6012e-05
3,6,2,1,68,0.011417,0.18367,0,1.6679e-05
3,7,2,2,70,0.011611,0.18891,0,1.7155e-05
3,4,2,2,79,0.011611,0.19282,0,1.7513e-05
3,10,2,3,81,0.011611,0.17633,0,1.6012e-05
3,8,2,3,10,0.011611,0.17908,0,1.6262e-05
3,10,12,3,65,0.013889,0.17633,0,1.6012e-05
3,7,4,3,63,0.012111,0.18891,0,1.7155e-05
3,9,2,2,97,0.011611,0.18366,0,1.6679e-05
3,1,2,2,25,0.011611,0.22032,0,2.0013e-05
3,8,2,2,48,0.011611,0.17908,0,1.6262e-05
3,1,6,2,94,0.012667,0.22032,0,2.0013e-05
3,4,2,2,53,0.011611,0.19282,0,1.7513e-05
3,8,6,3,70,0.012667,0.17908,0,1.6262e-05
3,6,6,3,13,0.012667,0.18366,0,1.6679e-05
3,4,2,3,80,0.011611,0.19282,0,1.7513e-05
3,3,2,3,98,0.011611,0.18365,0,1.668e-05
3,2,16,3,61,0.016667,0.22032,0,2.0013e-05
3,3,8,1,75,0.012667,0.18365,0,1.6679e-05
3,10,4,2,57,0.012111,0.17633,0,1.6012e-05
3,9,2,1,43,0.011417,0.18367,0,1.6678e-05
3,3,4,2,60,0.012111,0.18365,0,1.668e-05
3,8,2,1,65,0.011417,0.17908,0,1.6262e-05
3,9,2,2,99,0.011611,0.18367,0,1.6678e-05
3,2,8,1,16,0.012667,0.22032,0,2.0013e-05
3,7,6,2,45,0.012667,0.18891,0,1.7155e-05
3,2,2,2,71,0.011611,0.22032,0,2.0013e-05
3,2,4,3,6,0.012111,0.22032,0,2.0013e-05
3,1,2,1,29,0.011417,0.22032,0,2.0013e-05
3,3,12,2,63,0.013889,0.18365,0,1.6679e-05
3,5,8,3,20,0.013056,0.17632,0,1.6013e-05
3,6,8,1,74,0.012667,0.18367,0,1.6679e-05
3,7,12,2,29,0.013889,0.18891,0,1.7155e-05
3,10,2,3,98,0.011611,0.17634,0,1.6011e-05
3,8,2,3,98,0.011611,0.17908,0,1.6262e-05
3,5,2,2,64,0.011611,0.17633,0,1.6013e-05
3,8,2,2,89,0.011611,0.17908,0,1.6262e-05
3,7,4,3,31,0.012111,0.18891,0,1.7155e-05
3,8,2,3,26,0.011611,0.17908,0,1.6262e-05
3,6,12,3,25,0.013889,0.18367,0,1.6679e-05
3,6,2,3,72,0.011611,0.18366,0,1.6679e-05
3,1,4,3,10,0.012111,0.22032,0,2.0013e-05
3,3,4,3,85,0.012111,0.18365,0,1.668e-05
3,6,8,2,35,0.013056,0.18366,0,1.6679e-05
3,1,8,2,11,0.013056,0.22032,0,2.0013e-05
3,7,2,3,92,0.011611,0.18891,0,1.7155e-05
3,5,2,3,52,0.011611,0.17632,0,1.6013e-05
3,9,2,2,35,0.011611,0.18366,0,1.6679e-05
3,9,10,1,26,0.012667,0.18366,0,1.6679e-05
3,8,4,3,80,0.012111,0.17908,0,1.6262e-05
3,3,12,3,81,0.013889,0.18365,0,1.6679e-05
3,2,4,1,88,0.011889,0.22032,0,2.0013e-05
3,8,8,3,58,0.013056,0.17908,0,1.6262e-05
3,2,6,3,97,0.012667,0.22032,0,2.0013e-05
3,7,10,2,15,0.013056,0.18891,0,1.7155e-05
3,8,8,1,45,0.012667,0.17908,0,1.6262e-05
3,9,2,3,18,0.011611,0.18367,0,1.6678e-05
3,4,10,1,8,0.012667,0.19282,0,1.7513e-05
3,9,6,3,22,0.012667,0.18366,0,1.6679e-05
3,6,2,3,74,0.011611,0.18367,0,1.6679e-05
3,4,2,3,4,0.011611,0.19283,0,1.7513e-05
3,5,2,1,6,0.011417,0.17633,0,1.6012e-05
3,1,8,2,54,0.013056,0.22032,0,2.0013e-05
3,9,2,3,70,0.011611,0.18366,0,1.6679e-05
3,1,14,2,4,0.013889,0.22032,0,2.0013e-05
3,5,2,3,54,0.011611,0.17633,0,1.6013e-05
3,10,10,1,31,0.012667,0.17634,0,1.6011e-05
3,2,2,1,76,0.011417,0.22032,0,2.0013e-05
3,10,6,1,35,0.012111,0.17633,0,1.6012e-05
3,9,2,1,39,0.011417,0.18366,0,1.6679e-05
3,6,2,1,81,0.011417,0.18367,0,1.6679e-05
3,1,2,2,21,0.011611,0.22032,0,2.0013e-05
3,10,4,1,95,0.011889,0.17633,0,1.6012e-05
3,4,4,2,91,0.012111,0.19282,0,1.7513e-05
3,8,6,1,56,0.012111,0.17908,0,1.6262e-05
3,6,8,1,51,0.012667,0.18366,0,1.6679e-05
3,8,2,1,45,0.011417,0.17908,0,1.6262e-05
3,7,2,3,12,0.011611,0.18891,0,1.7155e-05
3,4,2,1,62,0.011417,0.19283,0,1.7513e-05
3,8,2,2,92,0.011611,0.17908,0,1.6262e-05
3,1,14,1,77,0.013056,0.22032,0,2.0013e-05
3,6,2,3,7,0.011611,0.18366,0,1.6679e-05
3,4,12,1,69,0.013056,0.19282,0,1.7513e-05
3,3,2,3,40,0.011611,0.18365,0,1.668e-05
3,4,4,2,58,0.012111,0.19282,0,1.7513e-05
3,5,2,3,4,0.011611,0.17633,0,1.6012e-05
3,3,2,3,50,0.011611,0.18365,0,1.6679e-05
3,4,12,2,51,0.013889,0.19282,0,1.7513e-05
3,5,6,1,60,0.012111,0.17633,0,1.6013e-05
3,6,4,2,63,0.012111,0.18367,0,1.6679e-05
3,7,12,2,61,0.013889,0.18891,0,1.7155e-05
3,3,4,3,6,0.012111,0.18365,0,1.6679e-05
3,7,2,1,11,0.011417,0.18891,0,1.7155e-05
3,6,8,2,9,0.013056,0.18366,0,1.6679e-05
3,3,6,3,71,0.012667,0.18365,0,1.668e-05
3,5,2,1,66,0.011417,0.17632,0,1.6013e-05
3,1,2,3,96,0.011611,0.22032,0,2.0013e-05
3,5,2,3,22,0.011611,0.17632,0,1.6013e-05
3,7,2,3,78,0.011611,0.18891,0,1.7155e-05
3,6,10,2,92,0.013056,0.18366,0,1.6679e-05
3,9,4,3,11,0.012111,0.18367,0,1.6678e-05
3,1,8,1,89,0.012667,0.22032,0,2.0013e-05
3,8,6,2,96,0.012667,0.17908,0,1.6262e-05
3,5,8,2,42,0.013056,0.17633,0,1.6013e-05
3,2,4,2,61,0.012111,0.22032,0,2.0013e-05
3,10,10,1,59,0.012667,0.17633,0,1.6012e-05
3,7,2,2,49,0.011611,0.18891,0,1.7155e-05
3,3,12,1,41,0.013056,0.18365,0,1.668e-05
3,10,2,1,44,0.011417,0.17633,0,1.6012e-05
3,1,2,3,12,0.011611,0.22032,0,2.0013e-05
3,6,4,2,91,0.012111,0.18366,0,1.6679e-05
3,4,14,2,76,0.013889,0.19282,0,1.7513e-05
3,10,4,2,14,0.012111,0.17633,0,1.6012e-05
3,10,12,1,63,0.013056,0.17633,0,1.6012e-05
3,10,12,3,43,0.013889,0.17634,0,1.6011e-05
3,8,2,2,64,0.011611,0.17908,0,1.6262e-05
3,4,4,2,1,0.012391,0.19282,0,1.7544e-05
3,8,2,3,16,0.011611,0.17908,0,1.6263e-05
3,2,2,2,15,0.011611,0.22032,0,2.0013e-05
3,4,10,1,21,0.012667,0.19282,0,1.7513e-05
3,3,2,2,85,0.011611,0.18365,0,1.668e-05
3,6,2,1,59,0.011417,0.18366,0,1.6679e-05
3,6,2,1,49,0.011417,0.18367,0,1.6679e-05
3,7,2,3,28,0.011611,0.18891,0,1.7155e-05
3,7,2,3,73,0.011611,0.18891,0,1.7155e-05
3,8,4,1,29,0.011889,0.17908,0,1.6262e-05
3,9,2,2,95,0.011611,0.18366,0,1.6679e-05
3,10,2,1,14,0.011417,0.17633,0,1.6012e-05
3,7,2,3,20,0.011611,0.18891,0,1.7155e-05
3,7,8,3,65,0.013056,0.18891,0,1.7155e-05
3,9,2,1,2,0.011569,0.18366,0,1.6696e-05
3,5,8,3,45,0.013056,0.17632,0,1.6013e-05
3,1,14,3,47,0.015833,0.22032,0,2.0013e-05
3,5,6,3,51,0.012667,0.17633,0,1.6013e-05
3,8,2,3,54,0.011611,0.17908,0,1.6262e-05
3,2,4,2,46,0.012111,0.22032,0,2.0013e-05
3,4,4,2,90,0.012111,0.19282,0,1.7513e-05
3,2,2,3,51,0.011611,0.22032,0,2.0013e-05
3,3,8,3,5,0.013056,0.18365,0,1.6679e-05
3,5,2,3,32,0.011611,0.17633,0,1.6013e-05
3,7,4,3,25,0.012111,0.18891,0,1.7155e-05
3,8,6,1,1,0.012131,0.17908,0,1.6265e-05
3,2,4,3,87,0.012111,0.22032,0,2.0013e-05
3,6,6,2,15,0.012667,0.18366,0,1.6679e-05
3,8,8,1,45,0.012667,0.17908,0,1.6262e-05
3,3,14,1,32,0.013056,0.18365,0,1.668e-05
3,2,6,2,27,0.012667,0.22032,0,2.0013e-05
3,2,6,1,4,0.013611,0.22032,0,2.018e-05
3,1,14,2,57,0.013889,0.22032,0,2.0013e-05
3,1,2,1,99,0.011417,0.22032,0,2.0013e-05
3,4,2,2,82,0.011611,0.19282,0,1.7513e-05
3,2,12,2,74,0.013889,0.22032,0,2.0013e-05
3,5,4,3,16,0.012111,0.17632,0,1.6013e-05
3,8,4,1,78,0.011889,0.17908,0,1.6262e-05
3,5,2,3,73,0.011611,0.17633,0,1.6013e-05
3,4,8,2,84,0.013056,0.19282,0,1.7513e-05
3,9,8,2,7,0.013056,0.18366,0,1.6679e-05
3,2,16,1,94,0.013889,0.22032,0,2.0013e-05
3,2,14,1,70,0.013056,0.22032,0,2.0013e-05
3,3,2,3,30,0.011611,0.18365,0,1.6679e-05
3,3,4,2,3,0.012111,0.18365,0,1.668e-05
3,1,16,2,84,0.015833,0.22032,0,2.0013e-05
3,4,8,2,86,0.013056,0.19282,0,1.7513e-05
3,10,4,3,80,0.012111,0.17633,0,1.6012e-05
3,7,6,2,8,0.012667,0.18891,0,1.7155e-05
3,7,10,2,8,0.013056,0.18891,0,1.7155e-05
3,1,2,2,84,0.011611,0.22032,0,2.0013e-05
3,3,8,2,73,0.013056,0.18365,0,1.668e-05
3,3,2,2,44,0.011611,0.18365,0,1.6679e-05
3,5,2,3,78,0.011611,0.17632,0,1.6013e-05
3,4,4,3,16,0.012111,0.19282,0,1.7513e-05
3,6,2,1,53,0.011417,0.18366,0,1.6679e-05
3,7,4,2,31,0.012111,0.18891,0,1.7155e-05
3,5,10,3,21,0.013889,0.17632,0,1.6013e-05
3,7,2,2,91,0.011611,0.18891,0,1.7155e-05
3,5,4,3,1,0.012111,0.17632,0,1.6013e-05
3,7,6,1,28,0.012111,0.18891,0,1.7155e-05
3,2,6,3,81,0.012667,0.22032,0,2.0013e-05
3,4,2,1,48,0.011417,0.19282,0,1.7513e-05
3,5,10,2,55,0.013056,0.17633,0,1.6012e-05
3,2,6,2,25,0.012667,0.22032,0,2.0013e-05
3,3,8,1,15,0.012667,0.18365,0,1.668e-05
3,1,6,1,65,0.012111,0.22032,0,2.0013e-05
3,2,2,1,90,0.011417,0.22032,0,2.0013e-05
3,1,2,2,17,0.011611,0.22032,0,2.0013e-05
3,3,6,1,69,0.012111,0.18365,0,1.6679e-05
3,5,2,3,58,0.011611,0.17632,0,1.6013e-05
3,3,2,2,82,0.011611,0.18365,0,1.6679e-05
3,4,10,3,60,0.013889,0.19282,0,1.7513e-05
3,7,6,3,84,0.012667,0.18891,0,1.7155e-05
3,9,4,1,69,0.011889,0.18367,0,1.6678e-05
3,1,2,3,53,0.011611,0.22032,0,2.0013e-05
3,10,4,3,38,0.012111,0.17633,0,1.6012e-05
3,5,14,1,5,0.013056,0.17633,0,1.6012e-05
3,10,12,3,66,0.013889,0.17633,0,1.6012e-05
3,2,4,1,64,0.011889,0.22032,0,2.0013e-05
3,7,2,3,16,0.011611,0.18891,0,1.7155e-05
3,6,6,3,68,0.012667,0.18367,0,1.6679e-05
3,6,2,3,40,0.011611,0.18366,0,1.6679e-05
3,5,2,3,92,0.011611,0.17633,0,1.6013e-05
3,8,16,1,74,0.013889,0.17908,0,1.6262e-05
3,2,2,1,4,0.011875,0.22032,0,2.0064e-05
3,4,2,2,51,0.011611,0.19282,0,1.7513e-05
3,6,4,1,86,0.011889,0.18367,0,1.6679e-05
3,9,2,3,37,0.011611,0.18367,0,1.6678e-05
3,10,4,3,79,0.012111,0.17633,0,1.6012e-05
3,7,2,1,44,0.011417,0.18891,0,1.7155e-05
3,8,2,1,93,0.011417,0.17908,0,1.6262e-05
3,5,2,3,63,0.011611,0.17633,0,1.6013e-05
3,5,14,3,96,0.015833,0.17633,0,1.6013e-05
3,4,4,1,63,0.011889,0.19282,0,1.7513e-05
3,3,2,1,15,0.011417,0.18365,0,1.668e-05
3,2,2,3,65,0.011611,0.22032,0,2.0013e-05
3,8,2,3,53,0.011611,0.17908,0,1.6263e-05
3,9,6,2,79,0.012667,0.18366,0,1.6679e-05
3,3,8,2,77,0.013056,0.18365,0,1.668e-05
3,2,2,3,39,0.011611,0.22032,0,2.0013e-05
3,1,2,1,78,0.011417,0.22032,0,2.0013e-05
3,8,6,3,71,0.012667,0.17908,0,1.6262e-05
3,4,10,1,55,0.012667,0.19283,0,1.7513e-05
3,5,4,3,49,0.012111,0.17633,0,1.6012e-05
3,2,4,3,95,0.012111,0.22032,0,2.0013e-05
3,1,10,2,92,0.013056,0.22032,0,2.0013e-05
3,9,2,3,20,0.011611,0.18366,0,1.6679e-05
3,6,4,3,59,0.012111,0.18366,0,1.6679e-05
3,10,6,2,13,0.012667,0.17633,0,1.6012e-05
3,5,14,3,28,0.015833,0.17632,0,1.6013e-05
3,4,2,2,97,0.011611,0.19282,0,1.7513e-05
3,6,2,3,26,0.011611,0.18366,0,1.6679e-05
3,5,2,2,30,0.011611,0.17633,0,1.6012e-05
3,1,4,3,29,0.012111,0.22032,0,2.0013e-05
3,10,6,1,2,0.012111,0.17633,0,1.6012e-05
3,8,2,1,18,0.011417,0.17908,0,1.6262e-05
3,5,8,2,24,0.013056,0.17633,0,1.6012e-05
3,3,2,3,40,0.011611,0.18365,0,1.668e-05
3,9,8,3,83,0.013056,0.18366,0,1.6679e-05
3,4,2,3,94,0.011611,0.19282,0,1.7513e-05
3,1,14,3,32,0.015833,0.22032,0,2.0013e-05
3,5,6,1,44,0.012111,0.17633,0,1.6013e-05
3,7,4,2,83,0.012111,0.18891,0,1.7155e-05
3,4,8,1,80,0.012667,0.19282,0,1.7513e-05
3,8,4,3,39,0.012111,0.17908,0,1.6262e-05
3,10,2,1,70,0.011417,0.17633,0,1.6012e-05
3,3,16,2,23,0.015833,0.18365,0,1.6679e-05
3,3,2,1,1,0.012541,0.18365,0,1.6803e-05
3,2,6,1,7,0.012111,0.22032,0,2.0013e-05
3,6,10,2,53,0.013056,0.18366,0,1.6679e-05
3,6,10,3,7,0.013889,0.18366,0,1.6679e-05
3,3,4,1,44,0.011889,0.18365,0,1.6679e-05
3,10,2,1,4,0.011417,0.17634,0,1.6011e-05
3,6,14,3,93,0.015833,0.18367,0,1.6679e-05
3,5,2,1,86,0.011417,0.17633,0,1.6013e-05
3,7,2,3,58,0.011611,0.18891,0,1.7155e-05
3,4,12,3,99,0.013889,0.19282,0,1.7513e-05
3,9,4,1,48,0.011889,0.18367,0,1.6678e-05
3,5,14,1,2,0.013056,0.17632,0,1.6013e-05
3,2,4,1,23,0.011889,0.22032,0,2.0013e-05
3,1,4,3,77,0.012111,0.22032,0,2.0013e-05
3,5,12,3,14,0.013889,0.17632,0,1.6013e-05
3,1,2,2,56,0.011611,0.22032,0,2.0013e-05
3,2,14,1,38,0.013056,0.22032,0,2.0013e-05
3,1,2,3,69,0.011611,0.22032,0,2.0013e-05
3,8,4,2,32,0.012111,0.17908,0,1.6262e-05
3,5,14,3,53,0.015833,0.17632,0,1.6013e-05
3,8,4,3,71,0.012111,0.17908,0,1.6262e-05
3,6,16,1,34,0.013889,0.18366,0,1.6679e-05
3,6,8,3,34,0.013056,0.18366,0,1.6679e-05
3,8,2,3,23,0.011611,0.17908,0,1.6262e-05
3,3,8,3,7,0.013056,0.18365,0,1.668e-05
3,10,4,3,49,0.012111,0.17633,0,1.6012e-05
3,10,2,1,88,0.011417,0.17633,0,1.6012e-05
3,5,10,1,6,0.012667,0.17633,0,1.6012e-05
3,4,2,1,25,0.011417,0.19282,0,1.7513e-05
3,10,2,2,47,0.011611,0.17633,0,1.6012e-05
3,1,2,1,38,0.011417,0.22032,0,2.0013e-05
3,7,6,3,100,0.012667,0.18891,0,1.7155e-05
3,1,4,1,66,0.011889,0.22032,0,2.0013e-05
3,8,2,2,92,0.011611,0.17908,0,1.6262e-05
3,10,4,3,85,0.012111,0.17634,0,1.6011e-05
3,4,12,2,5,0.013889,0.19283,0,1.7513e-05
