Topology,lambda_parallel_instances,lambda_allocated_memory,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,car_cache,latency,cost,reliability,scalability
1.4,87,3328,0,0,950,1,8,0,37.7326,0,-5.16369e-10
1.4,61,2112,0,0,6350,1,4,0,125.7933,0,-2.227785e-10
1.4,66,4928,0,0,4850,0.1,10,0,128.3743,0,-6.986064e-10
1.4,68,768,0,0,4150,0.6,4,0,64.2267,0,-1.47383e-10
1.4,97,3456,0,0,6550,0.8,4,0,115.999,0,-2.548018e-10
1.4,18,192,0,0,550,0.9,2,0,5.1292,0,3.0437e-11
1.4,61,8384,1,0,550,1,5,0,0.034326,0,-3.9624e-10
1.4,79,2688,0,0,2550,0,2,0,12.5655,0,-1.18086e-10
1.4,65,6144,0,1,3150,0.5,4,0,45.8033,0,-2.87394e-10
1.4,29,128,1,1,1850,0.3,1,0,0.0078487,0,9.6506e-11
1.4,20,8768,0,1,1000,0.8,2,0,8.8444,0,-1.5855e-10
1.4,95,2688,1,1,1950,0.6,4,0,0.027026,0,-2.3889e-10
1.4,36,6720,1,1,1950,0.2,2,3.0216e-17,0.016155,0,-2.2552e-08
1.4,91,576,0,1,5650,0.8,4,0,99.8887,0,-1.29268e-10
1.4,86,9984,0,1,1800,1,5,0,43.5956,0,-4.02372e-10
1.4,42,192,0,0,3150,0.3,10,0,99.2636,0,-1.82606e-10
1.4,92,640,1,1,5150,0.4,10,0,0.012941,0,-3.9101e-10
1.4,49,4544,0,0,2350,0.1,4,0,25.2035,0,-2.70668e-10
1.4,96,576,1,1,4150,0.1,5,0,0.012328,0,-1.6824e-10
1.4,84,576,0,0,3250,0.2,9,0,85.8152,0,-3.25602e-10
1.4,4,2688,1,0,9400,0.9,1,4.4423e-17,0.00085476,0,-5.7095e-11
1.4,73,1984,0,0,6550,0.5,1,0,23.7256,0,-4.63855e-11
1.4,59,128,0,1,8100,0.2,4,0,97.3431,0,2.88083e-11
1.4,5,6720,1,1,550,0.2,10,0,0.002419,0,-7.6551e-10
1.4,92,4736,1,1,5150,0,8,4.4422e-17,0.039679,0,-5.5068e-10
1.4,23,8768,0,0,500,0.8,4,0,8.8394,0,-3.1901e-10
1.4,14,2432,1,1,5150,0.9,8,4.455e-17,0.013718,0,-4.6026e-10
1.4,92,192,0,0,900,0.5,6,0,19.612,0,-7.64759e-11
1.4,77,128,0,0,7600,0.2,5,0,114.0772,0,2.099283e-13
1.4,42,320,1,0,700,0,4,0,0.00081516,0,-8.1496e-11
1.4,10,704,0,1,5150,1,2,1.01353e-16,51.0587,0,5.90354e-10
1.4,68,512,1,1,1600,0.5,6,0,0.011378,0,-2.122e-10
1.4,54,1216,1,0,4850,0,9,1.0854e-16,0.0036756,0,5.656e-09
1.4,45,3456,0,0,500,0.7,4,0,8.2499,0,-2.548e-10
1.4,58,3776,1,0,950,0.6,3,0,0.013366,0,-1.9039e-10
1.4,81,3072,0,1,4550,0.4,10,0,154.3063,0,-6.12911e-10
1.4,67,320,0,1,6150,0.2,3,0,55.1665,0,-5.47748e-11
1.4,5,1088,1,1,3050,0.3,9,0,0.011053,0,-4.2147e-10
1.4,41,7040,1,0,9150,0.9,3,0,0.01899,0,-2.2602e-10
1.4,9,2240,0,0,750,0.7,4,0,12.4838,0,-2.24157e-10
1.4,13,3072,0,1,800,0.9,8,0,29.5299,0,-4.89289e-10
1.4,52,704,0,1,950,0.9,2,1.0135e-16,8.8685,0,3.3282e-09
1.4,90,256,0,1,1500,0.7,10,0,63.8944,0,-2.56539e-10
1.4,99,640,1,0,550,0.6,9,0,0.0032966,0,-3.459e-10
1.4,25,1088,0,1,6750,0.7,6,0,170.1093,0,-2.729758e-10
1.4,22,896,0,0,7400,0.9,9,0,311.249,0,-3.926353e-10
1.4,41,256,0,0,1150,0.5,4,0,17.1291,0,-6.89732e-11
1.4,13,960,0,0,5300,0.5,5,0,96.5713,0,-2.0888e-10
1.4,41,128,0,0,1250,0.2,5,0,18.7013,0,2.09928e-13
1.4,52,320,1,1,800,0.2,9,5.5957e-17,0.009796,0,-2.6892e-10
1.4,27,192,0,1,7600,0.2,2,0,44.0942,0,3.04369e-11
1.4,88,2240,1,0,550,0.8,5,0,0.011399,0,-2.8298e-10
1.4,44,576,0,0,4050,0.1,6,0,65.1217,0,-2.07811e-10
1.4,64,2240,0,1,950,0.7,2,5.5977e-17,7.9302,0,-1.0853e-10
1.4,56,832,0,0,600,1,8,0,24.0424,0,-3.39249e-10
1.4,30,576,1,1,2800,0.9,2,0,0.010553,0,-5.1233e-11
1.4,89,128,1,0,650,0.1,8,0,0.00065217,0,-6.4824e-11
1.4,30,960,1,1,6750,0.2,1,0,0.011864,0,-2.8334e-11
1.4,92,1152,0,1,4150,0.8,3,0,54.7268,0,-1.30265e-10
1.4,24,1792,1,1,1000,0.5,1,0,0.013812,0,-4.6017e-11
1.4,89,2688,0,0,6750,0.8,6,4.449953e-17,180.0439,0,-3.61501e-10
1.4,10,4160,1,1,3550,0,9,0,0.015379,0,-6.0948e-10
1.4,3,192,0,0,1950,0.6,9,0,68.187,0,-1.57438e-10
1.4,94,192,1,1,6750,0.7,9,0,0.0087389,0,-1.5744e-10
1.4,23,256,0,0,1150,0.9,9,0,49.2063,0,-2.10929e-10
1.4,48,448,1,0,850,0.5,3,4.4453e-17,0.0011956,0,-7.4186e-11
1.4,65,640,0,0,3000,0.5,1,0,11.1631,0,-2.13578e-11
1.4,11,7360,1,1,2200,0.4,8,2.8943e-17,0.0054934,0,-6.1873e-10
1.4,30,9984,0,0,6350,0.7,4,7.24721e-17,104.1381,0,-3.19076e-10
1.4,61,6144,1,0,950,0.2,4,0,0.023963,0,-2.8739e-10
1.4,71,896,0,0,1400,0,6,0,20.4279,0,-2.52469e-10
1.4,50,192,1,1,2400,0.8,9,0,0.0084151,0,-1.5744e-10
1.4,57,448,1,0,700,0.4,3,4.4453e-17,0.001377,0,-7.4186e-11
1.4,21,448,0,0,1000,0.2,4,4.44533e-17,11.6099,0,-1.0995e-10
1.4,86,896,1,1,950,1,1,0,0.014279,0,-2.7332e-11
1.4,42,2112,1,0,5650,0.4,8,0,0.0052591,0,-4.5731e-10
1.4,61,8768,0,1,550,0.9,3,0,7.6499,0,-2.3869e-10
1.4,79,128,0,1,7150,0.8,1,0,32.4401,0,9.65064e-11
1.4,85,192,0,0,2500,0.9,6,0,69.3944,0,-7.64759e-11
1.4,69,384,1,0,7850,0.8,4,4.4472e-17,0.0013737,0,-9.3945e-11
1.4,52,320,1,1,750,0.6,9,5.5957e-17,0.009796,0,-2.6892e-10
1.4,50,256,1,0,2650,0.8,3,0,0.00076582,0,-3.3503e-11
